Industry,Gender,Average_Salary
Aerospace/Defence,Woman,68800
"project management",Woman,68812.5
publishing/edtech,Woman,69000
"defence Contractor",Woman,69000
"Nonprofit - legal department",Woman,69000
"Nonprofit association",Woman,69000
Wholesale,Woman,69000
"Consumer Products design",Woman,69000
"Background Screening",Woman,69000
"Agriculture or Forestry","Other or prefer not to answer",69018.66666666667
Politics,Woman,69142.85714285714
Law,Non-binary,69339.41176470589
"Fire protection",Woman,70000
Science/Research,Woman,70000
"Federal Contracting/Business Development",Man,70000
"Craft Beer Industry",Woman,70000
"Information Technology",Man,70000
"Environment, health, and safety",Woman,70000
"Manufacturing : corporate admin support",Woman,70000
"Scientific analysis",Woman,70000
Vet,Man,70000
"Real estate service",Man,70000
"Call center",Man,70000
Service,Woman,70000
"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.","Other or prefer not to answer",70000
Government,Woman,70000
Travel,Man,70110
Politics/Campaigns,Woman,70500
"Education (Primary/Secondary)",unknown,70522
Purchasing,Woman,70600
"Social Work",Woman,70615.11559683795
Energy,Unknown,70720
Cannabis,Woman,70900
Retail,Man,70915.35843010753
"Regulatory Affairs- nutraceuticals",Woman,70980
defence,Man,71000
"Survey methodology",Woman,71000
"Oilfield adjacent",Woman,71038.24
Clergy,Woman,71050
"Renewable Energy",Non-binary,71077
"Scientific research",Woman,71088.2768235294
"Patent translation",Woman,71400
"Marketing technology",Non-binary,71500
"Cancer research, not for profit",Woman,71700
"Academic research",Man,71750
"Property or Construction",Woman,71899.93680781758
Insurance,Unknown,71920
Food,Woman,71986
"Public Health- state level",Woman,71989
"Health Insurance",Woman,72000
Politics,"Other or prefer not to answer",72000
Planning,Woman,72000
"Political Campaigns",Woman,72000
"Commercial Real Estate - Private Equity",Woman,72000
"Gaming (Gambling)",Man,72000
Wine,Woman,72000
"Animal Health",Woman,72000
"Pension Benefit Administration",Man,72000
"Non-profit Theatre",Woman,72000
"Public/Research Library",Woman,72000
"Food industry",Woman,72500
Museum,Woman,72573.375
Logistics,Woman,72775
"Beauty/service industry",Woman,72800
"Wherever I'm assigned via the union",Woman,72800
"Animal Caretaker",Woman,72800
"Life Sciences",Man,72961
"Agriculture or Forestry",Woman,72980.00168224299
Eap,Woman,73000
"Real Estate Investment",Woman,73000
"Energy Supplier",Woman,73000
"Think tank",Woman,73140
Literature,Woman,73440
"Mental health therapist",Woman,73611
"Educational assessment",Woman,74000
Accessibility,Woman,74000
Science,Woman,74106.01466666667
"Engineering or Manufacturing",Non-binary,74203.12666666666
"Art & Design",Man,74488.30967741934
"Research and Development Academia",Woman,74500
"Food production",Woman,74540
"Mining/Resource Extraction",Woman,74568
"Mining & Mineral Processing",Man,74800
"Information Management/Archives",Woman,74800
"Animal Health Product Manufacturing",Woman,75000
"Hospitality & Events",unknown,75000
"Gas & Oil",Woman,75000
"Fitness & Entertainment",Woman,75000
"Energy: oil & gas",Man,75000
"State and federal contractor",Woman,75000
"Engineering and Environmental Consulting",Woman,75000
"Lobbying and consulting",Woman,75000
"Pest Control",Woman,75000
"commodities trading",Woman,75000
"Online education",Woman,75000
"Consumer Product Goods",Woman,75000
"Sales operations",Man,75000
"Historic Preservation",Woman,75000
"Earth sciences",Woman,75000
"Architecture & Construction",Woman,75000
"Regulatory Affairs",Man,75000
"Law Enforcement & Security",Man,75141
"Environmental Consulting",Woman,75175.71428571429
"Industry unknown",Woman,75353.3896551724
"Sales Operations",Woman,75500
"Transport or Logistics","Other or prefer not to answer",75507.5
"Medical Devices",Woman,75577.5
Nonprofits,Woman,75772.06722951603
Environmental,Man,75780.88888888889
"Medical Library",Woman,75950
"Research - Public Health",Woman,76000
"Science/research non-academic",Woman,76000
"Emergency Management",Woman,76000
"Clinical & Translational Research",Woman,76000
"Survey Research/Public Policy Research",Woman,76000
"Wholesale supplier",Man,76147
"Public Library (technically City Govt.?)",Woman,76302
Communications,Man,76500
Buyer,Woman,76650
"Digital Marketing",Woman,76700
"Market Research",Man,77000
"Publishing (book)",Woman,77030.4
"Commercial Real Estate",Woman,77190
"Information sciences",Woman,77200
Architecture/Construction,Woman,77400
"Scientific Research",Man,77459.775
Manufacturing,Man,77465.2
"Environmental Planning",Woman,77500
Hospital,Woman,77500
"Horticulture (Admin)",Woman,77924
Veterinarian,Woman,78000
"Librarian in legal setting",Woman,78000
"Biological Sciences",Woman,78000
"Professional services / architecture",Woman,78000
"Pharmaceutical R&D",Man,78000
"Business or Consulting",Non-binary,78231.90476190476
"Non profit theatre",Woman,78250
"Aerospace and defence",Woman,78750
"Archaeology / Cultural Resource Management",Woman,79000
"Educational technology",Woman,79000
"Professional services",Woman,79196.25
IT,Woman,79260
Nonprofits,"Other or prefer not to answer",79274.59090909091
"Property or Construction",Non-binary,79565
Manufacturing,Woman,79612.64285714286
"Media & Digital",Non-binary,79871.41666666667
"Utilities & Telecommunications","Other or prefer not to answer",79900
Cosmetology,Woman,80000
"Corporate Learning and Development",Woman,80000
Airline,Woman,80000
Unions,Man,80000
"Instructional Designer",Woman,80000
"Video games",Non-binary,80000
Scientific,Woman,80000
Philanthropy,Woman,80015.38461538461
"Interior Design & Architecture",Woman,80240
"Biotech research",Woman,80250
Publishing,Man,80260
"Recruitment or HR",Man,80316.375
"Agriculture or Forestry",Man,80418.8482352941
Nonprofits,Man,80742.40805687207
"Government and Public Administration","Other or prefer not to answer",80758.55047619047
"wholesale distribution",Woman,81000
Publications,Man,81000
"Librarian and Assistant Manager of a library",Woman,81000
Insurance,Non-binary,81162.76
"Government contractor",Woman,81407
Research,Man,81415.126
"Publishing: Science, Academic, Technical",Woman,81500
"Research & Development",Woman,81600
"Research science",Man,81600
"Property or Construction",Man,81675.63768115942
Library--public,Woman,81916
"clinical research",Woman,81990.75
"Policy research",Woman,82000
"UX Research",Woman,82000
"Preclinical Research",Woman,82000
"Landscape Architecture",Woman,82000
"Clinical Research Manager - academic institution",Woman,82000
"funeral services",Woman,82132
"Pharmaceutical research",Woman,82530
Insurance,Woman,82754.75669811321
"Animal welfare",Woman,82908
"Program management",Woman,83000
"International organization (UN)",Woman,83000
"Research / Gov",Man,83000
Compliance,Woman,83104.33333333333
"Lab Science (Biotech)",Man,83200
"Health care",Non-binary,83580.23964102563
"Pharmaceutical Manufacturing",Woman,83800.8
"Healthcare technology",Woman,83900
ECommerce,Woman,83920
Architecture,Woman,83923.2
"Community Foundation",Woman,84000
"Biotechnology/Life Sciences",Woman,84000
"Education- museum/public outreach",Woman,84000
"STEM research",Woman,84106
"labour/professional organization",Woman,84320
"Telecommunications (GPS)",Woman,84500
"Libraries and Archives",Woman,84826.66666666667
"Library/Archive/Research Center",Woman,85000
"Consumer Product Organization",Woman,85000
"Wine Wholesale",Woman,85000
"Environmental Consulting",Man,85000
Museums,Man,85250
"Food processing",Woman,85400
"Government contracting (data analytics and program evaluations)",Woman,86000
Biotech,Non-binary,86000
"Print / Mail",Man,87000
"Language Services",Woman,87000
Research,Unknown,87000
Maintenance,Man,87000
"Transport or Logistics",Man,87307.15822784811
"environmental compliance/engineering",Woman,87460
"Automotive finance and insurance",Woman,87500
technology/SaaS,Woman,87500
"Environmental Science",Woman,87626.66666666667
"Quality Assurance Laboratory",Woman,87720
"educational publishing",Woman,87820
"Art & Design",Woman,87935.58439272728
"Agriculture or Forestry","Prefer not to answer",88000
"Executive Leadership Servis",Woman,88000
Training,Woman,88000
"Public affairs / PR",Woman,88000
Geospatial,Man,88007
Surveying,Man,88590
"veterinary biotech",Woman,89000
Beauty,Woman,89000
"Environmental Consulting","Other or prefer not to answer",89000
"Benefits Administration",Woman,89000
Science,Man,89259.68266666667
Counselling,Woman,89300
"Engineering or Manufacturing","Other or prefer not to answer",89624.72173913044
Chemical,Woman,89760
"Food & Beverage production",Man,90000
"Wholesale - Apparel",Woman,90000
Politics,Man,90000
"Research at a National Laboratory",Woman,90000
"Research & Development (defence Industry)",Woman,90000
"Social Work","Other or prefer not to answer",90000
Fashion,Woman,90000
