Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Policy Lead","11 - 20 years",52000
Coordinator,"8 - 10 years",804398
"Senior Advisor","8 - 10 years",199000
"Safety Director","41 years or more",129000
"Secondary School Educator","5-7 years",75000
"Downstream Process Development Research Associate I","2 - 4 years",52000
"Research Programmer","5-7 years",70000
"Manager, Natural Climate Solutions Development","5-7 years",92400
"AR Manager","21 - 30 years",53000
"Technical specialist","5-7 years",36000
"Programming Coordinator","5-7 years",38000
"City Research Scientist II","5-7 years",87000
"Project engineer","11 - 20 years",1430090
"Pricing Analyst","5-7 years",47000
"Marketing Coordinator","5-7 years",536681
"Tech Writer","11 - 20 years",163000
"Supervisory Archivist","11 - 20 years",71000
"Program Manager","11 - 20 years",7787266
"High School Teacher at an independent school","11 - 20 years",75000
"Manager of Market Research and Data","21 - 30 years",80000
"Senior Business Analyst","11 - 20 years",860029
"Special Collections Cataloguer","11 - 20 years",65000
Teacher,"21 - 30 years",2138367
"Graphic Designer / Webmaster","2 - 4 years",55000
"Senior UX Designer","11 - 20 years",1306000
"Senior Engineer","8 - 10 years",1210500
"Office Administrator","11 - 20 years",598543
"Digital Archivist","11 - 20 years",125700
"Associate Program Manager","5-7 years",136400
CSR,"8 - 10 years",39520
"Director of Engineering","21 - 30 years",2820500
"Fuel Efficiency Program Analyst","8 - 10 years",76000
"Senior Vice President of Marketing","31 - 40 years",240000
"Accounting Manager","5-7 years",425600
"Technical Assistant","5-7 years",19300
"Senior Administrative Assistant and Project Specialist","31 - 40 years",70000
"senior web application developer","21 - 30 years",98166
"Director of Development","5-7 years",248500
"Quality Assurance Lead","21 - 30 years",58000
"Program & Administrative Assistant","5-7 years",49700
"Chief Engineer","31 - 40 years",95000
"Production Co-ordinator","8 - 10 years",48000
"Administrative Support Assistant","2 - 4 years",39940
"Administrative Officer","8 - 10 years",153527
"Executive Secretary/Secretary to Board of School Trustees","31 - 40 years",47255
"Senior Project Manager","11 - 20 years",3292620
"Customer Service Representative","21 - 30 years",34361
"Senior Device Engineer","21 - 30 years",170000
"Graphic Designer","5-7 years",790550
"Graduate Student","5-7 years",116000
"Senior Financial Analyst","8 - 10 years",994015
"Case Manager","11 - 20 years",319500
Professor,"21 - 30 years",1971700
"Office Manager","21 - 30 years",1877294
"Finance Manager","5-7 years",282000
"Software engineer","5-7 years",15259057
"Medical Education Director","11 - 20 years",121500
"Finance accountant","21 - 30 years",71000
"Associate Director of Donor Relations","11 - 20 years",147000
"Assistant Professor of Law","2 - 4 years",160000
"investment advisor","2 - 4 years",105000
"Content Writer","5-7 years",152000
"Assistant Director of Finance","21 - 30 years",253000
"Digital Marketing Specialist","11 - 20 years",284430
Archivist,"21 - 30 years",318400
"Assistant Professor","5-7 years",3710319
"Head of Public Sector Data Sharing","21 - 30 years",50870
"QC Supervisor","31 - 40 years",60500
"Content Development Manager","31 - 40 years",101500
"Clinical Research Assistant II","2 - 4 years",37033
"news editor","11 - 20 years",127000
"Senior Administrative Assistant","5-7 years",233000
"Product Manager","11 - 20 years",8820906
"career services professional","21 - 30 years",55000
"Project Coordinator","8 - 10 years",782515
"Associate Manager, Education","5-7 years",74000
Director,"21 - 30 years",7319650
"Senior Librarian","5-7 years",63000
"Project Estimator","21 - 30 years",100000
"Accounts manager","11 - 20 years",134025
"Customer Advocate","11 - 20 years",38000
"Customer Service Specialist","5-7 years",78780
"Accounts Payable Manager","11 - 20 years",435300
"Associate Director","11 - 20 years",4224841
"Staff Attorney","8 - 10 years",933291
"Program Associate","5-7 years",64000
"Senior People Advisor","11 - 20 years",55000
"English as a Second Language Teacher","8 - 10 years",18000
"Online Sales Support Manager","11 - 20 years",92000
"PhD Candidate","2 - 4 years",88500
"Research Technologist","11 - 20 years",42000
"RIM Manager","21 - 30 years",144000
"Senior Client Service Representative","31 - 40 years",73000
"Funding Manager","11 - 20 years",54000
"Clinical analyst","21 - 30 years",168000
"Policy Analyst","2 - 4 years",671250
"Research Scientist","11 - 20 years",929000
"Service Designer","11 - 20 years",130000
Librarian,"2 - 4 years",470400
"Senior Accountant","5-7 years",421284
"Administrative Assistant","11 - 20 years",1963929
"User experience specialist","5-7 years",88000
"Self-employed writer","11 - 20 years",65000
"Director of Development","8 - 10 years",886100
"occupational therapist","2 - 4 years",146500
"Production Technician","5-7 years",69000
"Graphic Designer","11 - 20 years",1343940
"Compliance Officer","8 - 10 years",225600
"Director of Intelligence","5-7 years",122500
"Program Analyst","8 - 10 years",661883
"Coordinator of Survivor Services","11 - 20 years",70000
"Software Development Manager","21 - 30 years",1133000
"Project Architect","11 - 20 years",243000
"Brand Consultant","11 - 20 years",400000
"HR director","11 - 20 years",2342200
"Marketing Director","8 - 10 years",1020500
"Talent Acquisition Specialist","2 - 4 years",222000
"technical support specialist","8 - 10 years",70000
"Communications Specialist","5-7 years",614117
"CAD Manager","21 - 30 years",80500
"Content Strategist and Writer","8 - 10 years",57000
Associate,"8 - 10 years",4072680
"Manager, Planning","2 - 4 years",77500
"Fulfilment Expert","11 - 20 years",31200
Midwife,"2 - 4 years",32000
"Associate Creative Director","11 - 20 years",480000
"Administrative Specialist","8 - 10 years",185500
"Senior Corporate Counsel","11 - 20 years",1172500
"Head of Data & Analytics","8 - 10 years",100000
"Systems Analyst","5-7 years",80000
"UX designer","2 - 4 years",1460200
"Lead business controls specialist","2 - 4 years",94000
"Product Engineer","5-7 years",57000
"Senior Technical Writer","8 - 10 years",460428
"Senior Director","11 - 20 years",4119000
"Hotel Sales Manager","8 - 10 years",66950
Planner,"2 - 4 years",136000
"Principal Engineer","8 - 10 years",58000
"Information and Program Manager","8 - 10 years",75000
"Assistant Professor","2 - 4 years",968100
"Media and PR","11 - 20 years",80000
"Technical assistance provider","11 - 20 years",70000
"Library Specialist","8 - 10 years",69363
"Strategic Operations and Programme Manager","11 - 20 years",90000
"Assistant Director, Student Affairs","11 - 20 years",50000
"Director of Client Services","11 - 20 years",259000
"Loss prevention manager","8 - 10 years",102000
"Associate Attorney","11 - 20 years",2741500
"Administrative Associate","11 - 20 years",142000
Attorney,"31 - 40 years",881500
"Operations Manager","5-7 years",1434695
"Software engineer","11 - 20 years",15011250
"Paralegal / Legal Assistant","11 - 20 years",54580
"Manager & Actuary","11 - 20 years",200000
"Marketing Manager","8 - 10 years",3335317
Librarian,"21 - 30 years",2041042
"Communications Associate","5-7 years",53000
Cytotechnologist,"11 - 20 years",82160
"Onboarding Partner","11 - 20 years",71000
"Graduate Research Assistant","5-7 years",106200
"Deputy C-level","8 - 10 years",105000
"Librarian, non-supervisory","11 - 20 years",77000
"Content Strategist","11 - 20 years",368500
"Programme Administrator","5-7 years",25217
"Public Service Tech","5-7 years",31616
EOS,"11 - 20 years",97000
"Data Analyst","1 year or less",372700
"Sr Associate - Quality Assurance","11 - 20 years",82500
"High school teacher","5-7 years",281579
"Business Analyst","21 - 30 years",927000
"Assistant to Property Managers","8 - 10 years",31500
"IT Training Specialist","5-7 years",76000
"Principal Statistical Programmer","21 - 30 years",195000
"Reporting Analyst","11 - 20 years",45760
"Communications Manager","5-7 years",1007000
"Project Manager","5-7 years",3981014
"Admissions Advisor","8 - 10 years",153100
"Sales support","11 - 20 years",88050
"Business Development Specialist","8 - 10 years",69000
Associate,"5-7 years",7637120
"Assistant Project Manager","5-7 years",494500
"Supply chain manager","11 - 20 years",437860
RN,"8 - 10 years",762890
Associate,"1 year or less",1152000
"Land Analyst","21 - 30 years",60320
"Regulatory affairs manager","5-7 years",346850
NP-PHC,"8 - 10 years",98000
"Director of Development","11 - 20 years",1376700
"Teaching Assistant","2 - 4 years",299000
Consultant,"31 - 40 years",411000
"Advancement Accounting Assistant","8 - 10 years",40575
"Senior monitoring & evaluation adviser","8 - 10 years",75500
"Copy supervisor","5-7 years",247000
"Policy analyst","8 - 10 years",566052
"Visual Designer","5-7 years",184500
"Engineering Student Trainee","1 year or less",29000
"Graphic Designer","31 - 40 years",118750
"Information Technology Specialist","11 - 20 years",47250
"Sr. Piping Designer","11 - 20 years",100000
"Network Managed","21 - 30 years",260000
"Senior Program Support Associate","2 - 4 years",72000
Editor,"5-7 years",803372
"Senior Operations Manager","8 - 10 years",283400
"IT Manager, Financial Systems","21 - 30 years",124000
"Sr Analytic Consultant","21 - 30 years",108000
"Principal Consultant","11 - 20 years",1397000
"Assistant director, communications","11 - 20 years",83000
"Geostructural Design Engineer","8 - 10 years",124000
"Student Success Centre Coordinator","5-7 years",45000
"QC Chemistry Manager","11 - 20 years",134550
Supervisor,"21 - 30 years",371200
"Research administrator","8 - 10 years",108597
"Senior Property Manager","31 - 40 years",347229
"Director of Alumni Communications","11 - 20 years",120000
"Admin Assistant","5-7 years",141014
Administrator,"8 - 10 years",106300
"Executive Administrator","21 - 30 years",200000
"HR Business Partner","8 - 10 years",675738
"Product Support Representative","21 - 30 years",49840
"Senior Hazard Mitigation Manager","21 - 30 years",170000
"Senior Manager of Customer Enablement","21 - 30 years",150000
"Senior Consultant","21 - 30 years",612500
"Equity Analyst","2 - 4 years",105000
"Project Manager-Tech Lead","11 - 20 years",105500
Operations,"5-7 years",150000
"Senior Project Specialist","21 - 30 years",125000
"Public Library Director","11 - 20 years",63000
"Business Development Manager","8 - 10 years",918000
"Principal Investigator","11 - 20 years",310500
"Museum Technician","5-7 years",52000
Economist,"5-7 years",763970
"Associate professor","21 - 30 years",2022979
editor,"21 - 30 years",1108876
"HR Adviser","8 - 10 years",70659
"Managing Librarian","11 - 20 years",147400
"Manager of cGMP Manufacturing, QA, and QC","11 - 20 years",112500
"Event Officer","5-7 years",58000
"Office Administrator","8 - 10 years",224160
Accountant,"1 year or less",80000
"Senior Director of Public Policy","8 - 10 years",75000
"Talent Management Manager","5-7 years",115000
"Internal Communications Executive","2 - 4 years",32640
"Research assistant","11 - 20 years",208900
Analyst,"5-7 years",1334600
"Accounting Manager","31 - 40 years",271000
"Quality Manager","21 - 30 years",448500
"Policy Analyst","5-7 years",425800
Attorney,"2 - 4 years",1014050
RN,"41 years or more",120000
"Bookkeeper self-employed","21 - 30 years",114400
"Senior Recruiter","11 - 20 years",409500
"Assistant Director of Undergraduate Admissions","5-7 years",58300
"Director of strategic initiatives","11 - 20 years",700000
"Software Engineer","21 - 30 years",2771456
"Agile Coach","11 - 20 years",413000
"Children's Librarian","8 - 10 years",152000
Librarian,"11 - 20 years",4748406
"principle product marketing manager","11 - 20 years",141000
"Sr. Environmental Manager","21 - 30 years",128500
"Program Manager","2 - 4 years",1213454
"Executive Office & Admin Specialist","11 - 20 years",38480
"Early Intervention developmental specialist","11 - 20 years",37000
"Grants coordinator","8 - 10 years",55000
"Account Executive","8 - 10 years",818000
"Youth Services Librarian","8 - 10 years",231600
"Associate Director of Annual Giving","8 - 10 years",113000
"Cash Logistics Manager","11 - 20 years",63500
"Social Worker / Child Development Specialist","11 - 20 years",62000
"Legislative Analyst","8 - 10 years",234600
"Medical Receptionist","5-7 years",43680
"Technology Senior Business Analyst","5-7 years",105000
"Principal Teacher","21 - 30 years",51000
"Senior Marketing Specialist","8 - 10 years",67700
"Assistant Archivist","2 - 4 years",26000
"Strategic Advisor","8 - 10 years",93000
"High School counsellor","21 - 30 years",75000
"Service Manager","11 - 20 years",303500
Developer,"5-7 years",1093900
"Group Leader, Crop Protection Environmental and Human Safety","11 - 20 years",87500
"Energy Specialist","11 - 20 years",80000
"Editor (Books)","8 - 10 years",38000
"Medical Social Worker","8 - 10 years",63000
"Children's Librarian","11 - 20 years",39000
"Payroll Manager","11 - 20 years",381000
"Shop Coordinator","21 - 30 years",59000
"Senior user experience researcher","11 - 20 years",392500
"Freelance content writer/copy editor","21 - 30 years",77000
"Production Editor","11 - 20 years",213250
"Salesforce Administrator","5-7 years",311600
"Account Manager","21 - 30 years",483512
Engineer,"5-7 years",406200
"Assistant General Counsel","21 - 30 years",730000
"Proposal Manager","21 - 30 years",441038
Pharmacist,"5-7 years",835432
"Technical Associate","1 year or less",66000
"IT Director, Project Management","31 - 40 years",186000
"Administrative Assistant","21 - 30 years",788193
"Production Editor","5-7 years",51000
"Staff Accountant","8 - 10 years",449400
"SVP, risk management","8 - 10 years",186000
"Product Coordinator","11 - 20 years",40200
"Statistical Analyst","8 - 10 years",71750
"Sales Account Manager","8 - 10 years",70000
"Managing Consultant","21 - 30 years",87000
"Program Manager","21 - 30 years",2331650
Assistant,"5-7 years",200000
"Senior research assistant","2 - 4 years",42120
"Research Associate","5-7 years",736150
"Community Support Manager","8 - 10 years",85000
"Junior Project Manager","8 - 10 years",227760
"Business Analyst","11 - 20 years",2544200
"Software Development Project Manager","21 - 30 years",104000
"Human Resources Manager","8 - 10 years",687744
"Program Assistant","11 - 20 years",171000
"Programmer Analyst 2","8 - 10 years",68000
"Sr development Manager","21 - 30 years",350000
Consultant,"8 - 10 years",3295210
Controller,"21 - 30 years",798360
"Registered behaviour technician","8 - 10 years",43000
"Compliance Manager","11 - 20 years",1217520
"Speech-Language Pathologist","8 - 10 years",135000
Transcriptionist,"11 - 20 years",50000
"Disease Intervention Specialist","2 - 4 years",52000
"Lead Planner","5-7 years",57000
"Internal Auditor","5-7 years",52500
CPA,"5-7 years",117000
"Director of Distance Education","8 - 10 years",56000
"Program Coordinator","2 - 4 years",722203
"Billing & Accounts Receivable Coordinator","8 - 10 years",42000
Paralegal,"8 - 10 years",1019111
"Director, Learning Content & Training","11 - 20 years",69000
"Branch Manager","11 - 20 years",881717
"Planning analyst","5-7 years",105000
Representative,"11 - 20 years",94000
"Clinical Pharmacist","11 - 20 years",483000
"Project Manager","11 - 20 years",9743190
"Senior Associate","8 - 10 years",2020000
"Technical Project Manager","8 - 10 years",323500
"Special Projects Manager","21 - 30 years",66000
"Senior employee communications specialist","5-7 years",61800
"Library Assistant","2 - 4 years",125580
"Customer Support Representative","11 - 20 years",71456
Administrator,"21 - 30 years",312257
"Financial Administrator","11 - 20 years",172700
"Marketing Specialist","8 - 10 years",326920
"Public Health Advisor","31 - 40 years",128300
"Payment Services Officer","5-7 years",54000
Archivist,"8 - 10 years",703150
"Customer Experience Manager","8 - 10 years",31500
"Technical Sales Manager","11 - 20 years",184000
"Equity Partner","21 - 30 years",600000
"Senior Policy Advisor","11 - 20 years",200348
"Management Consultant","8 - 10 years",217500
Counsel,"11 - 20 years",3604480
"Programmer Analyst","11 - 20 years",82000
"Client Service Manager","11 - 20 years",90000
Sales,"11 - 20 years",255000
"Instructional designer","21 - 30 years",523240
"Technical Services Team Lead","11 - 20 years",64000
"Data analyst","2 - 4 years",3661850
"Proposal Manager","8 - 10 years",305000
"Business Architect","11 - 20 years",188434
"Backend Elixir Engineer","11 - 20 years",120000
"Senior Digital Content Manager","8 - 10 years",92000
"HR Manager","11 - 20 years",3506248
"Director of Operations","11 - 20 years",2537200
"Prospect Researcher","2 - 4 years",44500
"Packaging Dept Supervisor","5-7 years",58240
"Director of Engagement and Annual Giving","11 - 20 years",107500
"Assistant Deputy Director","11 - 20 years",155000
"HR Manager","8 - 10 years",1721258
"QA Analyst IT","5-7 years",68000
"Media Planner - Paid Social","5-7 years",82500
"Assistant Fabrication Manager","8 - 10 years",34000
"Customer Support Representative","2 - 4 years",45000
"Brand Manager","11 - 20 years",541000
"Records Management Analyst","8 - 10 years",55000
"Product Manager","8 - 10 years",5112242
"Engineering Manager","11 - 20 years",8474836
"Customer Success Manager","11 - 20 years",1178750
"Software Engineer","1 year or less",2064105
"Instructional design librarian","5-7 years",58800
"Instructional Systems Specialist","8 - 10 years",101360
"IT Specialist I","21 - 30 years",103000
"Director, Corporate Communications","21 - 30 years",204000
"Data librarian","11 - 20 years",112000
"Managing Editor","2 - 4 years",80000
Historian,"8 - 10 years",201818
"Senior Talent Acquisition Consultant","11 - 20 years",108000
"Assistant director","11 - 20 years",3536750
"Staff Therapist","5-7 years",45000
"Systems Librarian","1 year or less",54000
"Adult Services Librarian","5-7 years",96280
"Assistant Technology Coordinator","5-7 years",36000
Chemist,"11 - 20 years",438282
"Doctor (Psychiatry registrar)","8 - 10 years",164800
"Quality project lead","8 - 10 years",40100
"Project Manager Specialist","11 - 20 years",165000
"Sr. Database Analyst","21 - 30 years",102000
"Senior manufacturing engineer","21 - 30 years",161000
Director,"11 - 20 years",16885674
"Senior Development Manager","8 - 10 years",72100
"Finance assistant","5-7 years",94178
"Associate of Talent Management and Culture","5-7 years",55000
"Film Post-Production Manager","21 - 30 years",100000
"Email Marketing Director","11 - 20 years",78000
"Publicity Coordinator","5-7 years",50000
"HR Business Partner","21 - 30 years",401300
"Senior Research Analyst","5-7 years",386400
"Market development rep","8 - 10 years",92000
"Executive Assistant","11 - 20 years",4410657
"Senior Manager","5-7 years",765000
"Internal communications specialist","11 - 20 years",155000
Reporter,"11 - 20 years",273000
"CRM Analyst","5-7 years",44290
"Operations Manager","11 - 20 years",3478816
"Director of Donor Relations","11 - 20 years",267000
"State Librarian & Associate Vice Chancellor for Libraries","31 - 40 years",165000
"Word Processor","31 - 40 years",40317
"Teacher 9-12 grade ","11 - 20 years",53900
"Advocacy and Grassroot Specialist","2 - 4 years",59400
"Quality Engineer","1 year or less",54075
"Budget Analyst","2 - 4 years",271473
"Sales Operations","11 - 20 years",81000
"Engineer in Training (Civil)","2 - 4 years",67080
"Software Developer","11 - 20 years",5356335
"Business Systems Manager","21 - 30 years",256000
"Assistant Director, Data Integrity","8 - 10 years",72000
"Content Development Manager","8 - 10 years",152618
"Inside Sales - Projects","5-7 years",65500
"Senior Tax/Fixed Asset Specialist","21 - 30 years",56000
"Senior Editor","21 - 30 years",947200
"Senior Software Engineer","21 - 30 years",5032943
Director,"8 - 10 years",4454500
"Deputy Director","11 - 20 years",1115100
"Director of Accounting","11 - 20 years",243000
"Program Coordinator","5-7 years",1166672
"Manager, Production","11 - 20 years",90000
"Assistant Media Relations Manager","11 - 20 years",32033
"Manager, Reporting and Analytics","11 - 20 years",137000
"Account Manager","11 - 20 years",2836720
"Project Assistant","11 - 20 years",54000
"HR Coordinator","5-7 years",318580
"Office Operations Associate","2 - 4 years",32000
"Archives Assistant","5-7 years",37500
"HR Project Associate","5-7 years",63000
"Museum Director Curator","11 - 20 years",60000
"Legal Assistant","5-7 years",584631
"Civil Engineer","5-7 years",692277
"Data Engineer","8 - 10 years",1185690
"Flight Test Engineer","2 - 4 years",93000
"Program Director","11 - 20 years",1829249
"Arts Producer","8 - 10 years",72000
"Tax Manager","11 - 20 years",914900
"Member Financial Transaction Services","5-7 years",51000
Consultant,"11 - 20 years",3415700
"Online Instructor","5-7 years",70000
"Director of Student Life","11 - 20 years",76000
"Assistant Director","21 - 30 years",228000
"Postdoctoral Lecturer","1 year or less",70000
"Instructional Designer","8 - 10 years",826726
"Materials Engineer","11 - 20 years",119000
Attorney,"8 - 10 years",4455500
"Pretreatment Manager","41 years or more",107000
"Editorial Director","11 - 20 years",415350
"Case Manager","5-7 years",534260
"Quality Specialist","21 - 30 years",69900
"Program Officer","8 - 10 years",533100
"Corporate Social Responsibility Coordinator","5-7 years",66000
"Meeting and Event Manager","11 - 20 years",54000
"Product Manager","5-7 years",3713970
"Chief Financial Officer","11 - 20 years",566500
"Staff Accountant","11 - 20 years",1024153
"Program Specialist III","2 - 4 years",42000
"Embedded Software Engineer","2 - 4 years",80000
"Senior Student Services Specialist","5-7 years",44777
"Vice President of Finance","21 - 30 years",103550
"Teaching Assistant","11 - 20 years",40000
"Senior Media Specialist/Strategist","11 - 20 years",150000
Teacher,"2 - 4 years",1231780
"Sr. Corporate Recruiter","11 - 20 years",110400
"Compensation Analyst","21 - 30 years",128116
partner,"11 - 20 years",7040950
"Assistant Director of Development","11 - 20 years",69000
"Hearing Instrument Specialist","11 - 20 years",60000
"Security Engineer","11 - 20 years",1407257
"Director of Marketing","11 - 20 years",1968263
"Strategic Sourcing Buyer","5-7 years",91000
"Academic Advisor/Recruiter for master's program","11 - 20 years",72300
"Proposal Writer","11 - 20 years",253500
"Private Client Advisor","5-7 years",68000
Reporter,"8 - 10 years",307192
"Finance Manager","11 - 20 years",1567603
"Senior Product Manager","11 - 20 years",2458970
"Program Manager","5-7 years",2845825
"International Trade Compliance Manager","11 - 20 years",132000
"HR Director","21 - 30 years",1292450
"Accounts Payable","5-7 years",57000
RN,"31 - 40 years",436600
"Staff writer","8 - 10 years",214400
Veterinarian,"5-7 years",496500
"Office Administrator","5-7 years",107400
"Senior Vice President","11 - 20 years",1259000
"ux developer & product designer (junior)","8 - 10 years",68000
"Realty Specialist","21 - 30 years",75000
"Director of Internal Audit","31 - 40 years",91000
"Marketing Comms Associate","2 - 4 years",44000
"Psychometrist II","11 - 20 years",52000
"Materials Engineer","5-7 years",201433
"Pricing Specialist","11 - 20 years",208327
"Fellowship Director","8 - 10 years",58000
"Visiting Lecturer","21 - 30 years",56000
Manager,"21 - 30 years",2760433
"Production Supervisor","11 - 20 years",132340
"Lead Generation Manager","11 - 20 years",96000
"Speech Language Pathologist","41 years or more",79000
"Program Coordinator","11 - 20 years",1021002
Lecturer,"8 - 10 years",6475642
"Exec admin","11 - 20 years",233800
"VP of Communications","11 - 20 years",154000
"Laboratory Technician","21 - 30 years",29000
"development assistant","11 - 20 years",37960
"Digital Media Production Engineer","11 - 20 years",50000
"Marketing Manager","5-7 years",1888800
"Development Specialist","5-7 years",99062
"Online Content Quality Specialist","5-7 years",68150
"Records Management Specialist","8 - 10 years",85000
"Program Manager (Staff)","21 - 30 years",54000
"Associate Counsel","8 - 10 years",181915
"Learning and Engagement Librarian","8 - 10 years",58000
"Executive Director","21 - 30 years",2862086
Manager,"11 - 20 years",6291865
"Academic Advisor","41 years or more",58000
"Manager of People Operations","8 - 10 years",74500
"Contract Specialist","21 - 30 years",81500
"Program Analyst","11 - 20 years",906492
"QA Manager","8 - 10 years",310000
"Community Outreach","21 - 30 years",52000
"Political Communications Fellow","2 - 4 years",37440
"Business Support Consultant","2 - 4 years",54000
"Senior Technical Lead Project Manager","21 - 30 years",172900
"Sr. Project Coordinator","8 - 10 years",75000
"Executive Assistant","21 - 30 years",4505219
"Genetic Counsellor","8 - 10 years",203000
"Communications Advisor","8 - 10 years",183000
"Team lead dmv","21 - 30 years",23000
"Teacher 4th Grade","31 - 40 years",51007
"Knowledge Analyst","21 - 30 years",72000
Registrar,"8 - 10 years",159631
"Assistant Front Office Manager","2 - 4 years",23662
"Operations Analyst","11 - 20 years",490000
"Web developer","8 - 10 years",309500
"User Research & Design Lead","11 - 20 years",91000
"Project Manager","21 - 30 years",3608691
"Marketing Content Expert","8 - 10 years",25450
"Financial Analyst Intermediate","11 - 20 years",65000
"Quality Engineer","11 - 20 years",655000
"Legal editor","11 - 20 years",90200
"Research fellow","2 - 4 years",334008
"Assistant Editor","11 - 20 years",92000
"Operations Director","5-7 years",115360
"Volunteer Specialist","5-7 years",38600
"Interactive Communications Strategist","8 - 10 years",57500
"Healthcare Data Analyst","11 - 20 years",66913
"Production Planner","31 - 40 years",78280
"Senior Analyst","8 - 10 years",1213929
Controller,"8 - 10 years",489000
"Prospect Research Coordinator","8 - 10 years",65000
"Financial Analyst","21 - 30 years",271450
"Mental Health Clinician, MHC-P","11 - 20 years",38800
"Accounting Manager","11 - 20 years",2005580
"Sr Institutional Research Analyst","11 - 20 years",58500
"VP Marketing/Merchandising/Creative","21 - 30 years",241000
"Managing Consultant","5-7 years",69600
"Medical Illustrator & Animator","5-7 years",75000
"Regional Director of Revenue Management","11 - 20 years",68245
"digital content strategist","21 - 30 years",75000
"Senior Instructional Designer","11 - 20 years",169000
Bookkeeper,"21 - 30 years",326961
"Policy Advisor","8 - 10 years",269000
"Pipeline integrity engineer","5-7 years",105000
"Senior tax associate","5-7 years",37500
"Accounting Clerk","8 - 10 years",140440
"Assistant Dean","21 - 30 years",247000
"Shipping coordinator","8 - 10 years",70000
"graphic designer","41 years or more",133500
"Financial Planner","8 - 10 years",270000
"Foundation Assistant","5-7 years",33280
"Mid level consultant","8 - 10 years",63000
"Customer Data Management","11 - 20 years",66000
"Clubs coordinator","1 year or less",37900
"Business Systems Analyst","11 - 20 years",1026524
"Library assistant 1","21 - 30 years",42000
"System Support Analyst","31 - 40 years",54000
Librarian,"8 - 10 years",1887453
"Accounting Specialist / H.R. Assistant","2 - 4 years",60000
"Human Resources Generalist","8 - 10 years",391164
"Utilities Engineer","21 - 30 years",66000
"BILLING & ACCOUNTS RECEIVABLE SPECIALIST","41 years or more",65450
Paralegal,"11 - 20 years",1922350
"Customer Success Team Manager","11 - 20 years",80000
"Senior Consultant","11 - 20 years",1853350
"Administrative Services","21 - 30 years",63500
"Configuration Management Specialist","11 - 20 years",118000
"Graduate Software Engineer","5-7 years",30500
"Supervisor of Children's Services","8 - 10 years",60800
"Payroll Tax Manager","11 - 20 years",62000
"Records Management","5-7 years",33800
"Search Engine Optimization Manager","11 - 20 years",63000
"Scientific Program Analyst Assistant","2 - 4 years",49524
Events,"11 - 20 years",67000
"Senior Director","21 - 30 years",3140000
"Data Specialist","11 - 20 years",227808
"Engineering Supervisor","11 - 20 years",400629
"Senior Manager of Strategy","8 - 10 years",135750
"research analyst","5-7 years",534780
"Events Manager","11 - 20 years",150000
"Director of Communications","21 - 30 years",85200
"Account Development Representative","5-7 years",64520
"Associate Director of Supply Chain","11 - 20 years",130000
