City,Industry,Average_Salary
"Work across the whole state","Social Work",43000
Needham,"Education (Higher Education)",79500
Cleveland,"Recruitment or HR",92000
Newcastle,"Computing or Tech",37822.5
Galway,"Computing or Tech",27094
"Chicago Suburbs","Education (Higher Education)",65666.66666666667
"See above","Media & Digital",155000
"Grand Rapids","Accounting, Banking & Finance",75292.22222222222
"Chicago Suburbs","Government and Public Administration",89750
Chattanooga,Sales,38000
Philadelphia,"Medical communications",105000
Baltimore,"Agriculture or Forestry",44106.666666666664
Boston,"Pharmaceutical Development",230000
Redmond,"Computing or Tech",145835.03846153847
Chicago,"Industry unknown",69340
"Colorado springs","Leisure, Sport & Tourism",57000
Folsom,"Health care",110000
Charleston,Retail,34017.5
"New York","Fitness & Entertainment",75000
"Santa Barbara","Education (Higher Education)",58250
Denver,"Public/Environmental Health",47000
Jonesboro,"Education (Higher Education)",55000
Detroit,"Transport or Logistics",80750
Metairie,"Education (Primary/Secondary)",50000
"Plymouth Meeting","Health care",89000
Tucson,"Engineering or Manufacturing",118500
"Schaumburg (Chicago Metro Area)","Payroll Software",51001
Orlando,"Accounting, Banking & Finance",86508.33333333333
Somerville,Environmental,65000
"New york City/Manhattan","Accounting, Banking & Finance",60000
Raleigh,"Engineering or Manufacturing",82071.6875
Alexandria,"Instructional Design and Training",104000
Brantford,"Engineering or Manufacturing",137360
Lancaster,"Health care",57437.5
Toronto,"Education (Other)",95567.2
Remote,"Government and Public Administration",62671.485
"near Ann Arbor","Computing or Tech",52000
Carbondale,"Health care",46800
"Schenectady, NY","Engineering or Manufacturing",130000
"northern CO","Media & Digital",144000
Houston,"Hospitality & Events",28516.666666666668
"Twin Cities","Engineering or Manufacturing",108
"Las Vegas","Education (Higher Education)",57060
Toronto,"Law Enforcement & Security",119000
"NYC (but I work remote)","Business or Consulting",140000
"Small city in SW UK","Education (Higher Education)",25830
Guelph,Law,142800
"Mexico City",Research,77000
Taunton,"Supply Chain",150000
Raleigh,"Property or Construction",45600
Plano,"Education (Higher Education)",41600
"Traverse City","Health care",42182
Greenwich,"Marketing, Advertising & PR",64950
Na,"Health care",181004
Halifax,"Accounting, Banking & Finance",66186.66666666667
Manhattan,Education/vocational,100000
"San Diego","Education (Higher Education)",107272.72727272728
"St Clair Shores",Law,33280
Houston,Architecture,53000
Leeds,"Health care",25281.297
Bellevue,"Recruitment or HR",96500
Wright,Mining,82000
Vancouver,"Education (Primary/Secondary)",76756
Montreal,"Government and Public Administration",107817.77777777778
Plymouth,Retail,31200
Toronto,"Hospitality & Events",89836.16
Albuquerque,"Transport or Logistics",99166.66666666667
"Allen, TX","Utilities & Telecommunications",95900
"Birmingham, UK","Accounting, Banking & Finance",35424
Bristol,"Health care",45408.72866666666
Amsterdam,"Health care",63365
Evanston,Nonprofits,48000
Castlegar,"Utilities & Telecommunications",149600
"North Wales","Recruitment or HR",50000
"King of Prussia","Engineering or Manufacturing",609850
Cleveland,"Art & Design",41750
"Minneapolis, wfh",Nonprofits,200000
Rotterdam,"Transport or Logistics",54000
Philadelphia,"Life science capability development",50000
Bemidji,"Health care",62400
"Dont want to say","Education (Primary/Secondary)",82000
Wellington,Law,117553.33333333333
rural,"Education (Higher Education)",60000
"SF Bay Area","Education (Primary/Secondary)",75665.5
Kent,"Engineering or Manufacturing",49213
Olympia,"Government and Public Administration",91802.71428571429
Redmond,"Marketing, Advertising & PR",93000
Waco,"Health care",150000
Fallon,"Public library",40000
"Cincinnati, OH","Engineering or Manufacturing",123000
Benton,"Government and Public Administration",50000
Durham,"Marketing, Advertising & PR",73900
"Torrance, CA","Marketing, Advertising & PR",52000
Raleigh,"Leisure, Sport & Tourism",72500
Lakeland,"Retail pharmacy",102924
"Kansas City, MO","Business or Consulting",86400
"Los Angeles",Fitness,52000
anonymous,Library,48028
"Fort Worth","Marketing, Advertising & PR",93666.66666666667
Toronto,"Consumer Good (Toys)",125120
Towson,"Education (Higher Education)",67000
"Upper Valley","Computing or Tech",70000
Southfield,"Business or Consulting",53000
Chicago,Museum,57150
"Washington DC","Education (Higher Education)",79715
Sunnyvale,"Music, education",100000
Victoria,"Accounting, Banking & Finance",76160
Fairbanks,"Mining/Mineral Exploration",65000
Cartersville,Nonprofits,39000
Gaithersburg,Biotechnology,85000
"San Fernando",Law,62400
Hillsdale,"Education (Higher Education)",63000
"Portland, ME",Law,63000
Birmingham,Nonprofits,31343.86666666667
Chicago,Philanthropy,66500
"Toronto, Ontario, Canada","Biotechnology, Research and Development",129200
Birmingham,"Academic Scientific Research",35600
"Santa Clara",Law,70210
"A city small enough to not answer this question","Business or Consulting",103000
Erie,Insurance,87000
Coventry,"Engineering or Manufacturing",29623.32
Carrollton,"Education (Higher Education)",55846.666666666664
Cleveland,"Business or Consulting",131516.66666666666
Atlanta,"Art & Design",70800
Stevenage,"Computing or Tech",36162
Charlotte,"Art & Design",32000
Tyler,Insurance,77500
"St. Louis","Utilities & Telecommunications",83000
"Whistler, BC",Retail,50918.4
Unknown,"Utilities & Telecommunications",82000
Petaluma,"Recruitment or HR",54080
Brambleton,"Health care",40000
Chandler,"Computing or Tech",71000
"Oklahoma City",library,42353.5
Phoenix,"Education (Higher Education)",58771.42857142857
Wilkes-Barre,"Recruitment or HR",80000
Marquette,"Education (Higher Education)",85000
"Iowa City","Accounting, Banking & Finance",58833.333333333336
"Greater Cleveland",Nonprofits,59500
Seattle,Entertainment,154369.23076923078
"federal way","Utilities & Telecommunications",120000
MCKINNEY,"Marketing, Advertising & PR",60000
"RAPID CITY",Law,131000
"Kansas City Region","Health care",73308
Eugene,"Computing or Tech",101040
Phoenix,"Biomedical Research",54285
"Rural New England","Education (Higher Education)",82000
Fallon,"Education (Primary/Secondary)",50000
Anchorage,"Health care",95216
Orlando,"Government Contractor",61442
Cleveland,Insurance,94320
"Columbia MD",Law,63000
DC,"Engineering or Manufacturing",141000
"San Francisco",Entertainment,134750
Escondido,"Education (Primary/Secondary)",41600
Dublin,"Health care",55748.49133333333
Miami,"Accounting, Banking & Finance",45240
"Toronto, Ontario","Marketing, Advertising & PR",88400
"Small town called Reigate, in Surrey just outside London",Law,33210
Mackay,Mining,207900
"New York City",Sales,56125
Pittsburgh,"Recruitment or HR",41750
"Chicago (suburbs)",Library,69000
Dallas,Library,31200
Shreveport,"Health care",55000
"WFH Kenilworth","Computing or Tech",165000
Kirkland,"Computing or Tech",146000
Minneapolis,"Property or Construction",76500
Hamilton,"Property or Construction",76160
"Philadelphia suburbs","Government and Public Administration",51500
"Stillwater: WI based company, office in MN","Property or Construction",46000
Renton,Insurance,100106
Springfield,"Engineering or Manufacturing",75466.66666666667
Waltham,"Computing or Tech",98512.5
Tempe,"Property or Construction",82500
Issaquah,Law,75000
"Chapel Hill",Sales,50003
"Bowling Green","Education (Higher Education)",76000
Reston,Nonprofits,54500
London,"Arts, Culture and Heritage",19948.14
"Kansas City","Corporate Learning and Development",80000
"Twin Cities suburbs","Accounting, Banking & Finance",127000
"Takoma Park, MD",Nonprofits,111000
"Prefer not to say","Media & Digital",45000
"DC area","Computing or Tech",56160
"Santa Monica","Government and Public Administration",82500
"Medium size city","Engineering or Manufacturing",118000
Trinidad,"Education (Higher Education)",41200
Badajoz,Translation,20976
"Fort wayne","Accounting, Banking & Finance",38875
"Long Beach","Computing or Tech",99757.14285714286
Albany,Nonprofits,58587.5
Unknown,"Health care",102727.43999999999
"Green Bay","Marketing, Advertising & PR",68000
Fraser,Cannabis,42000
"San Mateo","Health care",100500
"La Crosse","Engineering or Manufacturing",104500
"Kansas City","Govtech Software as a Service",60171
Bellevue,"Business or Consulting",122000
"Central PA","Engineering or Manufacturing",61000
Northfield,"Education (Primary/Secondary)",67900
"Corpus Christi","Government and Public Administration",47830
"New York",Biology/Research,40000
Ottawa,"Engineering or Manufacturing",124213.33333333333
"Suburb of Philadelphia","Accounting, Banking & Finance",57400
"Fort Eustis","Government and Public Administration",96000
"St. John’s",Insurance,57120
"King of Prussia","For profit education",66000
"San Diego","Property or Construction",91666.66666666667
Osceola,"Engineering or Manufacturing",120000
Alexandria,Publishing,62000
Ottawa-Gatineau,"Government and Public Administration",88400
Rockville,"Accounting, Banking & Finance",71333.33333333333
Edmonds,"Media & Digital",90000
"Des Moines",Insurance,81000
"Tucson, AZ","Engineering or Manufacturing",131000
Plattsburgh,Law,31000
"Camp Verde","Government and Public Administration",32000
Markham,"Engineering or Manufacturing",149600
Morristown,pharmaceutical,140000
Vancouver,"Transport or Logistics",121765.33333333333
"Near Indianapolis","Education (Higher Education)",62000
"St Louis","Computing or Tech",104250
Bangalore,"Computing or Tech",1925000
Vancouver,"Saas company/software",217600
"Bowling Green","Engineering or Manufacturing",113000
Noblesville,"Government and Public Administration",37440
"Detroit Metro","Government and Public Administration",70000
"District of Columbia","Media & Digital",83000
Cincinnati,"Education (Higher Education)",63112.42857142857
Tupelo,"Accounting, Banking & Finance",82000
Waukesha,Nonprofits,82000
Augusta,Insurance,86000
Dublin,"Education (Primary/Secondary)",114000
"Los Angeles","Beauty /CPG",131000
Melbourne,"Education (Primary/Secondary)",110826.045
Uppsala,"Government and Public Administration",49089
"Champaign Urbana","Education (Higher Education)",55000
Bentonville,Retail,117000
Waco,Insurance,36000
Cleveland,"Environment, health, and safety",70000
Dortmund,"Computing or Tech",55.062
Tyler,"Computing or Tech",47761
"Oakland CA","Government and Public Administration",92000
"Medford Oregon","Health care",43000
Harrisburg,"Government and Public Administration",64784.28571428572
"Lake Jackson","Government and Public Administration",61589
Chicago,"Leisure, Sport & Tourism",59324.666666666664
Greensboro,"Agriculture or Forestry",70000
"Baltimore (but I work fully remotely)","Clean Energy (eg. energy efficiency, renewables, etc.)",200000
"Minneapolis-St Paul","Energy: oil & gas",75000
"Paso Robles","Agriculture or Forestry",95600
"South San Francisco",Biotech/pharmaceuticals,156000
"Washington, DC","Social Work",63000
"Los Angles",Entertainment,40000
Baltimore,"Media & Digital",73793.75
Hamlet,"Education (Higher Education)",49000
Augusta,"Education (Higher Education)",85000
"Vancouver Island","Government and Public Administration",102453.33333333333
Hammond,"Education (Primary/Secondary)",42000
"Swift Current","Engineering or Manufacturing",38532.88
Seattle,"Education (Higher Education)",78192.17391304347
"New York City","Environmental Health + Pest Control",57900
"Chicagoland Area","Marketing, Advertising & PR",52000
Madison,"Marketing, Advertising & PR",64483.4
"Bloomfield Hills",Architecture,53000
"St. John's","Education (Higher Education)",65280
N/a,Entertainment,20664
"Little Rock","Veterinary medicine",89800
"New York, NY",Libraries,70291
Raleigh,Retail,59500
"St. Louis",Zoo,80000
Sheffield,"Computing or Tech",57933
Cleveland,"Education (Higher Education)",52931
Atlanta,Retail,70103
"Palo Alto","Health care",201250
Raeford,"Agriculture or Forestry",83000
Elkford,"Engineering or Manufacturing",119272
"The Woodlands","Computing or Tech",72100
Groton,"Engineering or Manufacturing",94000
"St. Louis",Law,86500
Chicago,"Legal Services",98500
"Palo Alto","Education (Primary/Secondary)",65000
"New York","Food & Beverage",450000
Washington,"Leisure, Sport & Tourism",215000
Edinburgh,"Accounting, Banking & Finance",46820.00833333333
"New York City",Politics,84000
Durham,"Education (Primary/Secondary)",36333.333333333336
Durham,"Accounting, Banking & Finance",72833.33333333333
Jena,"Research & Development",56810
GC,"Accounting, Banking & Finance",81000
Couoeville,"Art & Design",300000
"Baltimore, MD","Computing or Tech",103000
Oakland,"Social Work",56500
"Ann Arbor","Health care",70115.625
Washington,"Political Campaigns",78000
Worcester,Nonprofits,59500
Harrisburg,Museum,40000
"St. Paul","Marketing, Advertising & PR",50000
PONTYPOOL,"Government and Public Administration",14774.022
Kingsburg,"Agriculture or Forestry",52000
Vancouver,"Hospitality & Events",65960
Riverview,"Industry unknown",35360
Scranton/Wilkes-Barre,Insurance,32760
Houston,"Automotive Repair",50000
"SF Bay Area","Engineering or Manufacturing",168000
"San Jose","Community Foundation",84000
Columbus,"Government and Public Administration",70433.33333333333
Tampa,"Media & Digital",75000
Edmonton,"Oil & Gas",125120
"West Bend","Government and Public Administration",47205
NYC,Law,120600.06666666667
NYC,"Social Work",56433.333333333336
Nashville,"Property or Construction",53730
Waukesha,"Computing or Tech",85000
Vienna,"Government and Public Administration",63259.333333333336
Columbus,"Recruitment or HR",52440
Chattanooga,"Education (Primary/Secondary)",54000
Cleveland,Sales,257000
"greater Seattle area",Retail,55000
"New York City/Brooklyn","Media & Digital",75000
Toronto,"Medical research",126480
Louisville,"Engineering or Manufacturing",111723.33333333333
Aiken,"Cultural Resources Management/Major Univ.",30000
Morristown,"Utilities & Telecommunications",82450
Golden,"Marketing, Advertising & PR",35000
Denver,"Scientific research",76000
Durham,"Government and Public Administration",70861.66666666667
Rockville,"Computing or Tech",101333.33333333333
"Harrisburg area",Veterinarian,78000
"Dallas-Ft Worth",Sales,125000
"a small city","Education (Higher Education)",65386
Clifton,"Computing or Tech",140000
"Waltham, MA",Nonprofits,55000
"Company is in Glendale, California I am in Barrie, Ontario",Law,40000
"Santa Clarita",Nonprofits,74000
Toledo,"Recruitment or HR",50000
Surrey,"Leisure, Sport & Tourism",20664
Waterloo,"Education (Higher Education)",43800
Honolilu,"Health care",12000
"Grand Rapids","Social Work",56846
Manhattan,Nonprofits,66000
Leavenworth,"Health care",92000
Providence,"Government and Public Administration",95912
"London, UK","Business or Consulting",25830
Portland,"Social Work",59314.28571428572
Princeton,"Engineering or Manufacturing",94693.75
"Washington DC","Recruitment or HR",70399.33333333333
"New Orleans",Law,74200
"ann arbor","public health",87000
"San Francisco","Education (Primary/Secondary)",79250
Wakefield,"Health care",17712
Bedford,"Computing or Tech",72915
Curitiba,"Marketing, Advertising & PR",30238
Richmond,Libraries,64341
Lexington,"Education (Primary/Secondary)",48985.5
Washington,"Art & Design",72562.5
Everett,chemistry,41766
Garner,Nonprofits,31200
"Madison, WI","Education (Higher Education)",36100
Boston,"Utilities & Telecommunications",104737.75
Halifax,Retail,45560
Keene,Nonprofits,63000
Dublin,Actuarial,35834
Joplin,"Health care",28000
Bethlehem,"Recruitment or HR",147000
"Allendale, MI","Education (Higher Education)",50000
"New York City","Librarian in legal setting",78000
Pittsburgh,Procurement,43500
Albuquerque,"Engineering or Manufacturing",114200
Oakland,Nonprofits,87370.57142857143
"Oklahoma City","Media & Digital",98000
"Cherry Hill, NJ","Computing or Tech",60000
"Greater Boston Area","Academic research (social science)",45000
Paragould,"Education (Primary/Secondary)",61500
Seattle,Manufacturing/Wholesale,58212
Denver,"Hospitality & Events",62750
Munich,Pharmaceuticals,109250
Marseille,"Education (Higher Education)",31464
"Vancouver, BC","Computing or Tech",164730
"Chapel Hill",Nonprofits,74366.66666666667
"San Bruno","Computing or Tech",153000
Winnipeg,"Engineering or Manufacturing",92480
"Kitchener, ON","Computing or Tech",119816
Sheffield,Libraries,55000
"Remote US","Computing or Tech",105000
Grinnell,"Education (Higher Education)",62500
"West Roxbury","Health care",310000
"northern vermont",Nonprofits,70000
Washington,research,63100
"St. Louis","Transport or Logistics",61000
DeKalb,"Education (Higher Education)",70000
Savannah,"Marketing, Advertising & PR",62000
Keene,"Health care",70500
"Washington, DC","Government Affairs/Lobbying",130000
"Montreal, QC","Engineering or Manufacturing",104720
Cleveland,"Medical Communications",130000
"Rock Hill","Government and Public Administration",40128.5
"Ann Arbor","Government and Public Administration",113500
Manchester,"Computing or Tech",38768.817904761905
Wichita,"Engineering or Manufacturing",67336.66666666667
Norfolk,"Marketing, Advertising & PR",75100
Helena,"Government and Public Administration",63518.75
Minneapolis,Manufacturing,58000
Phoenix,"Telecommunications (GPS)",84500
Norfolk,Law,61000
Nanticoke,manufacturing,29640
"Santa Cruz","Food demos",27000
Marlborough,"Health care",66500
Plantation,Law,33000
"Falls Church","Computing or Tech",144758.33333333334
Omaha,"Agriculture or Forestry",69750
Beachwood,Law,73000
"Chicago Suburbs","Education services (tutoring)",100000
"Colorado Springs","Computing or Tech",94990.90909090909
Phoenix,"Business or Consulting",130766.66666666667
Greeley,"Education (Higher Education)",61000
Raleigh,Insurance,82616.66666666667
Vancouver,Law,141997.6
"SoCal, prefer not to specify","Education (Higher Education)",115000
"San Diego",Nonprofits,71692.25
Quincy,"Government and Public Administration",90000
Beaverton,Nonprofits,34000
"San Antonio",Retail,49000
Sacramento,"Education (Primary/Secondary)",53666.666666666664
"Austin metro area","Accounting, Banking & Finance",87000
"Florham Park","Accounting, Banking & Finance",140000
Elizabeth,Nonprofits,38000
Beaumont,"Education (Higher Education)",67250
DC,"Education (Higher Education)",63500
Moncton,Nonprofits,68288.32
Oakville,"Education (Primary/Secondary)",137360
Brookfield,Nonprofits,60000
"Grand Rapids","wholesale distribution",100006
Frederick,Nonprofits,43000
"Central IL","Health care",49000
"Framingham, MA","Computing or Tech",150000
Frederick,"Government and Public Administration",94000
Boston,Pharmaceuticals,160000
Portland,"Marketing, Advertising & PR",85669.1875
Mahwah,"Engineering or Manufacturing",97200
D.C.,"Art & Design",67000
"Fort Knox","Government and Public Administration",43500
Orlando,"Hospitality & Events",58600
Boston,Pharma,131000
Cincinnati,"Accounting, Banking & Finance",85872
Naperville,Law,92500
Edmonton,Environmental,65062.4
Greensboro,Law,44000
"District of Columbia",Politics,90000
"Las Vegas","Leisure, Sport & Tourism",31200
"Mexico City","Engineering or Manufacturing",534300
"Regina (SK)","Tourism/Heritage -- but for a government building",113118
Harrisburg,Insurance,51000
Bemidji,Law,95000
Springfield,"Government and Public Administration",67939.33333333333
"Evanston, IL","Academic publishing",40800
Sherbrooke,"Education (Higher Education)",148737.76
Lausanne,"Computing or Tech",66300
Melville,Scientist,125000
Menomonie,"Computing or Tech",42640
Plano,"Health care",69750
"Cape Canaveral","Engineering or Manufacturing",91500
Houston,"Law Enforcement & Security",63500
Oakland,"Education (Primary/Secondary)",91232.66666666667
Centennial,"Property or Construction",60000
Nashville,"Marketing, Advertising & PR",61720
-,"Engineering or Manufacturing",125000
Irvine,"Marketing, Advertising & PR",174000
"Not disclosed","Education (Higher Education)",75000
"Washington, D.C","Media & Digital",87750
"Marlborough MA","Education (Primary/Secondary)",97000
"Park City (remote/WFH)","Computing or Tech",100000
"Linthicum, MD","Government and Public Administration",117000
Orlando,"Corporate accounting in death care (funeral & cemetery)",103000
"Lake Zurich","Health care",46453.333333333336
D.C.,"Social Work",47000
Lexington,"Agriculture or Forestry",55000
"New Haven","Academic science",50000
"New York","Engineering or Manufacturing",100900
Beacon,"Marketing, Advertising & PR",60000
"Raleigh (remote out of VA)","Engineering or Manufacturing",58000
Charleston,"defence Contracting",95000
Boston,"Real Estate",60000
"Egg Harbor Township",Retail,37500
Fremont,"Hospitality & Events",65500
Juneau,Nonprofits,71000
"North Haven","Engineering or Manufacturing",92737.5
"Prefer not to say","Legal services",13653
"Ball Ground","Government and Public Administration",35570
Wichita,Insurance,103000
Rockville,"Biotech manufacturing",92000
Fargo,Retail,81000
WFH,"Computing or Tech",27306
"New Orleans","Leisure, Sport & Tourism",86000
Champaign,"Property or Construction",105000
Elgin,"Accounting, Banking & Finance",70200
"San Diego","Real Estate",80000
Tucson,"Leisure, Sport & Tourism",56000
"Metro Detroit area","Accounting, Banking & Finance",62000
"Greater Toronto Area","Education (Higher Education)",195500
"Minneapolis/St Paul","Engineering or Manufacturing",89000
Parsippany,"Marketing, Advertising & PR",95000
fairfax,"Transport or Logistics",86000
"Guelph, Ontario","Education (Primary/Secondary)",83640
Anchoragr,"Government Contracting",130800
"Beverly Hills",Retail,44200
"New Berlin","Bioscience Company",47500
"Upstate region","Education (Higher Education)",155000
"Remote - Lansdale","Recruitment or HR",60500
"San Luis Obispo","Health care",81598
NYC,Fintech,62500
Kent,"Utilities & Telecommunications",250000
SOUTHEND-ON-SEA,"Education (Primary/Secondary)",29520
Dublin,"Business or Consulting",53969.5
Portland,"Environmental Consulting",94120
Raleigh,Nonprofits,76033.33333333333
Tampa,Law,121180
Detroit,"Health care",71357.5
"Saint Charles","Engineering or Manufacturing",87200
Watertown,"Education (Primary/Secondary)",33000
Boulder,"Physical sciences",103000
"Washington, D.C.","Art & Design",63000
"Baton Rouge","Computing or Tech",81600
Prague,translation,1100000
"New York",Sales,87746.66666666667
Seattle,"Science/Research (Academia)",38784
Milwaukee,"Public Library",84000
"rural college community","Education (Higher Education)",51500
Fennimore,"municipal (public) libraries",66000
"Toronto, ontario","Engineering or Manufacturing",151640
Boulder,"Health care",41640
Dublin,Insurance,52003
Kamloops,"Education (Higher Education)",84320
"New York",Retail,103054.54545454546
Hawley,"Engineering or Manufacturing",124800
Libby,Insurance,34000
Bronx,"Social Work",67500
"Rio Rancho","Computing or Tech",132000
Dallas,"Leisure, Sport & Tourism",68777.66666666667
"Rural Iowa","Agriculture or Forestry",53000
Winston-Salem,"Marketing, Advertising & PR",59500
"Portland, OR","Transport or Logistics",142000
"San Francisco","Policy research",82000
Portland,Insurance,72657.3125
"Long Beach","Engineering or Manufacturing",102000
Suffolk,"Engineering or Manufacturing",36000
Aurora,Retail,68250
"Washington DC",Sales,192500
Winkler,"Health care",115600
Atlanta,Entertainment,273500
Hoboken,"Computing or Tech",86000
"Salt Lake City","Accounting, Banking & Finance",81986.18181818182
Washington,"Museum (University Affiliated)",40
"Washington DC","Education (Primary/Secondary)",57750
Bridgewater,"Marketing, Advertising & PR",130000
Harrisburg,"Education (Higher Education)",95000
"Fort Collins","Health care",64795.333333333336
"Washington DC",Law,128285.71428571429
Richmond,"Leisure, Sport & Tourism",83680
Boston,"Leisure, Sport & Tourism",253000
Glasgow,"Media & Digital",31680.533333333336
Lexington,"Property or Construction",62000
Warwick,Law,99000
Cambridge,"Biomedical Research",120000
"Oklahoma City","Health care",79816.66666666667
Clinton,"Education (Primary/Secondary)",45000
Alexandria,"Education (Higher Education)",51000
McLean,"Government and Public Administration",97265
"Greater Toronto Area","Utilities & Telecommunications",163200
"Saint Paul",Insurance,85694.25
"Central MD","Accounting, Banking & Finance",50000
Houston,"Libraries (Medical)",92000
Gaston,"Industrial Cleaning & Non Hazardous Transport",55000
Newburyport,"Government and Public Administration",105426
Harrisonburg,"Agriculture or Forestry",70000
"Joppatowne (Near Baltimore, MD)","Education (Primary/Secondary)",77443
Leiden,"Education (Higher Education)",25485.84
Saskatoon,"Quality Assurance Laboratory",87720
Rochester,"Business or Consulting",160000
Sheboygan,"Government and Public Administration",68000
Laramie,"Environmental consulting",46000
Trenton,"Health care",86000
"Saint Paul","Education (Higher Education)",68256.75
"Few hours outside Columbus",Libraries,30680
Memphis,Tourism,20800
"Des Moines","Health care",71106.66666666667
"Southern MN","Education (Primary/Secondary)",46700
Toronto,"Engineering - Mining",172720
Greenbelt,"Computing or Tech",133000
"New Orleans","Education (Primary/Secondary)",78500
"Remote employee pre-pandemic","Computing or Tech",100000
"Rocklin (Sacramento area)","Computing or Tech",75000
"Elgin, Illinois","Computing or Tech",112000
Bellevue,"Customer Service",41600
"Boulder City","Utilities & Telecommunications",73330
"Green Bay","Education (Higher Education)",49000
albuquerque,"Education (Higher Education)",67500
Raleigh,"Accounting, Banking & Finance",84111.11111111111
Morrisville,"Social Work",45000
Prague,"Computing or Tech",862500
"Garden City",Law,101000
Windsor,"Engineering or Manufacturing",101675
Hanover,Nonprofits,47200
Albuquerque,Insurance,69124.5
"Fort Worth","Government and Public Administration",84281
Bristol,Nonprofits,78991.151
"Ft Myers","Leisure, Sport & Tourism",92000
pittsburgh,Sales,100000
"Chula Vista","Education (Primary/Secondary)",54000
Charlotte,"Computing or Tech",105307.28571428571
Novi,"Engineering or Manufacturing",87283.33333333333
"Stockholm. But also from Italy (online work). Or anywhere actually.","Administration, IT",55324.2
Madera,Manufacturing,50000
"Fort Collins",Nonprofits,66175
Ashland,Nonprofits,33050
Atlanta,"Utilities & Telecommunications",91750
Ottawa,"not-for-profit membership organization",104720
Toronto,"Biotech industry",292740
"Rochester Hills","Health care",49920
Wichita,"Instructional Design, Aviation Industry",52000
"Rural Missouri",Nonprofits,45000
"Morgan Hill","Health care",60000
Fargo,"Education (Primary/Secondary)",38000
Knoxville,"Art & Design",82000
"choose not to answer","Computing or Tech",124000
"College Station","Education (Higher Education)",68166.66666666667
"Fort Collins","UX Research",82000
Leeds,"Media & Digital",51660
Tallahassee,"Health care",53500
"San Mateo","Behavioural Health",53560
Bakersfield,"Education (Higher Education)",90000
Houston,"Health Research",61000
Princeton,Philanthropy,100000
"rural Florida","Education (Higher Education)",70000
Paris,"Education (Primary/Secondary)",24472
Boston,"Biomedical Research",80000
Waterloo,"Utilities & Telecommunications",115600
Seattle,"Law Enforcement & Security",72666.66666666667
"Toronto, Ontario","Computing or Tech",103882.23999999999
Pittsfiel,Nonprofits,40000
Delaware,"Government and Public Administration",77293
Dallas,"Media & Digital",66735
hartford,"Marketing, Advertising & PR",69333.33333333333
"NA (remote)","Scientific Research",43500
"Rapid City","Health care",53230
Tampa,Nonprofits,55309
ROYERSFORD,"Education (Primary/Secondary)",96000
Ottawa,"Health care",119765
Bloomington,"Property or Construction",38000
"prefer not to say","Health care",107850.41
"Macon, GA","Government and Public Administration",35265
"Fort Wayne","Agriculture or Forestry",50000
Reading,Nonprofits,52000
"Chicago Suburbs","Recruitment or HR",78500
Shreveport,"Education (Higher Education)",50000
"Not Denver",Sales,65000
Walpole,"Health care",75500
"St. Paul","Agriculture or Forestry",51500
"South Burlington","Computing or Tech",65000
"Western canada",Sales,285600
Chicagoland,"Government and Public Administration",73000
"Benton Harbor","Sales Operations",96000
"Baton Rouge","Recruitment or HR",93180
Sheboygan,"Health care",54000
Orkney,"Leisure, Sport & Tourism",23616
"Charlotte area","Government and Public Administration",75000
"Metro Detroit","Engineering or Manufacturing",82500
Binghamton,"Marketing, Advertising & PR",43780
"North Chicago","Engineering or Manufacturing",94000
"Colorado Springs","Recruitment or HR",115500
"St Paul","Marketing, Advertising & PR",135000
Cincinnati,Law,86666.66666666667
Vancouver,Libraries,115600
"Greater Vancouver","Government and Public Administration",108800
Brockville,Immigration,58480
"Newcastle upon Tyne","Computing or Tech",43542
"Newark, NJ",Nonprofits,65000
Bloomfield,Nonprofits,50000
"Edmonton, Alberta","Government and Public Administration",149600
Vineland,"Leisure, Sport & Tourism",50000
"Chicago area","Engineering or Manufacturing",136843
"San Marcos",Retail,85000
"Central NJ","Government and Public Administration",46758
Tustin,"Property or Construction",74333.33333333333
Arvada,"Education (Higher Education)",59280
Seattle,Biotech,88250
Fargo,"Accounting, Banking & Finance",90000
"Large metro area","Accounting, Banking & Finance",122709
Baltimore,"Recruitment or HR",68333.33333333333
Alexandria,"Health care",255437.5
"Avon Lake","Computing or Tech",62000
Beaverton,"Marketing, Advertising & PR",73000
Anchorage,Fundraising,95000
Edmonton,Sales,81600
"Fort McMurray",Automotive,163200
Florence,"Education (Primary/Secondary)",55000
Nottingham,Translation,36900
Tallahassee,"Government and Public Administration",69270
Omaha,"Transport or Logistics",55000
"Fairfax Station","Government and Public Administration",109691
Eufaula,"Health care",41641
Alberta,"Business or Consulting",108800
Arlington,"Utilities & Telecommunications",108933.33333333333
Anderson,"Education (Higher Education)",51000
"Palo Alto",Law,151250
Lindon,"Computing or Tech",122000
Bristol,"Education (Primary/Secondary)",28044
"Hermosillo, Sonora","Government and Public Administration",83000
Phoenix,"Leisure, Sport & Tourism",16500
"missouri city","public library",51000
"Coeur d'Alene","Accounting, Banking & Finance",60000
"Portland, OR",Nonprofits,50000
"Fort Lee",Retail,110000
Richmond,"Social Work",72000
Wells,"Education (Primary/Secondary)",69000
Everett,"Engineering or Manufacturing",136250
Aberdeen,"Accounting, Banking & Finance",68556
"San Francisco","Research - Public Health",76000
Calgary,"Computing or Tech",139907.50666666668
Brussels,"Accounting, Banking & Finance",99927.33333333333
"South San Francisco",Biotech,127333.33333333333
Dallas,"Government and Public Administration",87181.11111111111
