Industry,Years_of_Professional_Experience_Overall,Number_of_Employees
Law,"21 - 30 years",105
"Computing or Tech","2 - 4 years",517
"Food manufacturing","5-7 years",1
"Utilities & Telecommunications","5-7 years",53
"Social Work","5-7 years",55
"Education (Higher Education)","1 year or less",31
"Art & Design","5-7 years",73
"Research and development","11 - 20 years",2
Pharmaceuticals,"8 - 10 years",6
"Consumer packaged goods","21 - 30 years",2
Entertainment,"21 - 30 years",38
Entertainment,"5-7 years",44
"Agriculture or Forestry","8 - 10 years",39
"Engineering or Manufacturing","1 year or less",44
"B2B Services","21 - 30 years",1
Sales,"5-7 years",44
"Oil and Gas","21 - 30 years",1
Entertainment,"11 - 20 years",87
"Heritage/Public History","5-7 years",1
"Government and Public Administration","41 years or more",7
"Education (Primary/Secondary)","2 - 4 years",73
Manufacturing,"21 - 30 years",15
"Leisure, Sport & Tourism","5-7 years",14
"Health care","31 - 40 years",76
"Veterinary medicine","5-7 years",1
"Food Production/Processing","21 - 30 years",1
Libraries,"8 - 10 years",17
"Education (Higher Education)","41 years or more",10
"Recruitment or HR","8 - 10 years",111
"Health Insurance","21 - 30 years",1
"Education (Primary/Secondary)","8 - 10 years",159
"Leisure, Sport & Tourism","2 - 4 years",12
"Government contractor","21 - 30 years",2
"Industry unknown","11 - 20 years",22
"Public health","2 - 4 years",2
"Renewable energy","11 - 20 years",4
"Engineering or Manufacturing","31 - 40 years",42
publishing,"41 years or more",1
Aerospace,"11 - 20 years",3
"Utilities & Telecommunications","31 - 40 years",22
"Marketing, Advertising & PR","41 years or more",2
Manufacturing,"8 - 10 years",9
"Public Library (technically City Govt.?)","21 - 30 years",1
Space,"11 - 20 years",1
Librarian,"11 - 20 years",2
Retail,"31 - 40 years",14
"Business or Consulting","2 - 4 years",142
"Hospitality & Events","2 - 4 years",12
"Food Service","5-7 years",2
"Media & Digital","31 - 40 years",17
Pharma,"11 - 20 years",7
Aerospace/Defence,"2 - 4 years",1
"Management Consulting","11 - 20 years",1
Pharmaceutical,"11 - 20 years",14
Pharmaceuticals,"11 - 20 years",9
Pharmaceutical,"21 - 30 years",6
"Academic publishing","11 - 20 years",2
"Gas & Oil","21 - 30 years",1
"Defence contracting","11 - 20 years",2
"Agriculture or Forestry","5-7 years",14
"International development (multilateral donor)","8 - 10 years",1
"project management","11 - 20 years",2
"Apparel manufacture","41 years or more",1
"auto repair","8 - 10 years",1
Insurance,"8 - 10 years",98
"Life Sciences","5-7 years",2
"pharma / medical device design and manufacturing","41 years or more",1
"Chemical Manufacturing","11 - 20 years",1
"Editor in educational publishing","21 - 30 years",1
Retail,"5-7 years",91
Retail,"21 - 30 years",78
"Art & Design","2 - 4 years",52
"trade association/membership","8 - 10 years",1
"Food service","2 - 4 years",4
"Social Work","2 - 4 years",41
Work-Study,"11 - 20 years",1
Science,"11 - 20 years",2
"Learning & Development","8 - 10 years",1
Training,"31 - 40 years",1
FMCG,"8 - 10 years",1
manufacturing,"31 - 40 years",3
"Museum - Nonprofit","11 - 20 years",1
"real estate","1 year or less",1
"wholesale distribution","31 - 40 years",1
"Research Administration","11 - 20 years",1
"Real Estate","8 - 10 years",3
Libraries,"11 - 20 years",14
"Scientific research","8 - 10 years",4
"Education (Higher Education)","31 - 40 years",95
Entertainment,"8 - 10 years",46
"Medical Devices","5-7 years",1
"Art & Design","8 - 10 years",86
Publishing,"8 - 10 years",16
Publishing,"5-7 years",13
Tech,"11 - 20 years",2
"Healthcare IT","11 - 20 years",2
Research,"11 - 20 years",12
"Academic Publishing","8 - 10 years",2
Biotech,"5-7 years",9
"Municipal library","21 - 30 years",1
Eap,"8 - 10 years",1
"Property or Construction","1 year or less",10
"Education (early childhood)","21 - 30 years",1
"Medical Library","8 - 10 years",1
"Fire protection","8 - 10 years",1
"Environmental Science","5-7 years",1
"Music: freelance, performing and education","11 - 20 years",1
architecture,"8 - 10 years",7
"Utilities & Telecommunications","8 - 10 years",58
"Oil & Gas","8 - 10 years",6
"Leisure, Sport & Tourism","1 year or less",4
"Libraries & Archives","11 - 20 years",1
"International Development","2 - 4 years",2
"Interior Design & Architecture","21 - 30 years",1
Pharma/Biotech,"11 - 20 years",1
"Academic/nonprofit research","1 year or less",1
"Public health","11 - 20 years",2
"Synthetic Chemical Manufacturing","11 - 20 years",1
"Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs)","8 - 10 years",1
"Real estate services","8 - 10 years",1
"Accounting, Banking & Finance","41 years or more",8
"Automotive finance and insurance","11 - 20 years",1
Gambling,"11 - 20 years",1
"Museums: Nonprofit","8 - 10 years",1
"Public Library","2 - 4 years",5
Pharma,"21 - 30 years",3
"Libraries and Archives (Academic)","11 - 20 years",1
Pharma,"31 - 40 years",2
Archaeology,"11 - 20 years",1
"Recruitment or HR","21 - 30 years",37
"Municipal Government (Library)","5-7 years",1
"Public Policy","2 - 4 years",1
Library/archives,"8 - 10 years",2
Sales,"31 - 40 years",11
"Government- Scientist","11 - 20 years",1
Libraries,"5-7 years",11
Technical/Cybersecurity,"21 - 30 years",1
Museums,"11 - 20 years",6
"Computing or Tech","41 years or more",18
"Pharmaceutical research","11 - 20 years",2
"Sign Language Interpreter, Community","21 - 30 years",1
Library,"11 - 20 years",23
Biotech,"21 - 30 years",8
"Trade Association","11 - 20 years",3
"Mining/Resource Extraction","11 - 20 years",1
Publishing,"31 - 40 years",2
"Recruitment or HR","41 years or more",2
"Education Publishing","5-7 years",1
Libraries,"21 - 30 years",4
"Property or Construction","2 - 4 years",29
"Public Health","5-7 years",3
"Special Collections Library","8 - 10 years",1
"Intergovernmental organization","11 - 20 years",1
Biotechnology,"8 - 10 years",6
"Real Estate","11 - 20 years",10
"Information services","2 - 4 years",1
"Museum education","8 - 10 years",1
Politics,"2 - 4 years",6
"Food & Beverage production","21 - 30 years",1
"Food and Drink","5-7 years",1
"Video Games","5-7 years",3
Science,"5-7 years",5
"Engineering or Manufacturing","41 years or more",9
Technical/IT,"31 - 40 years",1
"Law Enforcement & Security","8 - 10 years",8
Nonprofits,"1 year or less",22
"Public health","8 - 10 years",3
Publishing,"1 year or less",1
"Public Library","21 - 30 years",12
"education writing","2 - 4 years",1
Insurance,"2 - 4 years",43
"High end outdoor furniture manufacturer","11 - 20 years",1
Sales,"2 - 4 years",26
Logistics,"11 - 20 years",1
"Government Relations/Lobbying","2 - 4 years",1
Heritage,"11 - 20 years",1
"Industry unknown","5-7 years",13
"Industry unknown","2 - 4 years",8
"Real Estate Corp. Office/not a Realtor","21 - 30 years",1
HRO,"11 - 20 years",1
Publications,"5-7 years",1
"Workforce development","2 - 4 years",1
"Information sciences","11 - 20 years",1
"clinical research","11 - 20 years",2
"Leisure, Sport & Tourism","11 - 20 years",29
"Law Enforcement & Security","11 - 20 years",18
"Market research","2 - 4 years",5
Manufacturing,"11 - 20 years",15
"Food and Flavour","21 - 30 years",1
"Renewable Energy","5-7 years",1
"Pharmaceutical Manufacturing","31 - 40 years",1
"aerospace data","5-7 years",1
Science/Research,"8 - 10 years",1
Biotech/Pharma,"2 - 4 years",2
"Real Estate Investment","8 - 10 years",1
"Supply chain","5-7 years",1
Biotech/pharma,"5-7 years",1
technology/SaaS,"8 - 10 years",1
"Biomedical Research","21 - 30 years",2
"Industry unknown","8 - 10 years",8
"Government Contracting","8 - 10 years",3
"Public Libraries","5-7 years",5
"Public Libraries","21 - 30 years",7
Research,"2 - 4 years",13
"Research and Development","8 - 10 years",1
"Specialist policy consulting/research","1 year or less",1
Pharmaceutical,"5-7 years",5
Library,"21 - 30 years",11
"Veterinary Care","11 - 20 years",1
"Federal Contracting/Business Development","8 - 10 years",1
"Aerospace and defence","11 - 20 years",1
"Environmental/Cultural Resource Management","5-7 years",1
"Academia--cell and molecular biology","5-7 years",1
"Agriculture or Forestry","2 - 4 years",15
"Pharmaceutical R&D","21 - 30 years",1
"Oil and Gas","11 - 20 years",7
Sales,"1 year or less",6
"Career & Technical Training","11 - 20 years",1
"Hospitality & Events","31 - 40 years",7
Library,"8 - 10 years",9
"Fundraising in Higher Education; nonclinical, non-academic","21 - 30 years",1
"Trades (Supply Chain) Oil and Gas","11 - 20 years",1
"Wholesale - Apparel","21 - 30 years",1
"Govt contractor - not directly govt but they pay me","11 - 20 years",1
"Book publishing","11 - 20 years",3
"labour union","21 - 30 years",1
"Educational technology","11 - 20 years",2
"Research & Development","11 - 20 years",2
"Business Process Outsourcing","11 - 20 years",1
"Manufacturing (pharmaceuticals)","5-7 years",1
"Utilities & Telecommunications","2 - 4 years",27
"Consumer Research","8 - 10 years",1
"Biotech / Research","8 - 10 years",1
"Govt contractor - not direct govt but they pay my company who in turn pays me","11 - 20 years",1
Gaming,"2 - 4 years",2
"Commercial real estate tenancy","5-7 years",1
"Book Publishing","2 - 4 years",1
Translation/transcription,"11 - 20 years",1
"Pharmaceuticals R&D","11 - 20 years",1
"Law Enforcement & Security","21 - 30 years",5
"Subsidized Seniors Housing","8 - 10 years",1
"librarian--Contractor for NASA","31 - 40 years",1
"Environmental sciences","5-7 years",1
"Government and Public Administration","1 year or less",21
"Federal Government Contracting","11 - 20 years",1
"State DOT","21 - 30 years",1
"Analytical Chemistry","31 - 40 years",1
"Executive Search","8 - 10 years",1
Biotechnology,"11 - 20 years",7
"labour/professional organization","8 - 10 years",1
Religion/church,"11 - 20 years",1
"Private company, federal contractor","21 - 30 years",1
"Environmental Consulting","8 - 10 years",4
"Title/Real Estate","11 - 20 years",1
"Church ministry","31 - 40 years",1
Retail,"1 year or less",14
Compliance,"8 - 10 years",2
"Marketing, Advertising & PR","1 year or less",7
Philanthropy,"11 - 20 years",5
"Database subscription services","41 years or more",1
"Corporate sustainability","2 - 4 years",1
"Craft Beer Industry","11 - 20 years",1
Childcare,"11 - 20 years",3
"Leisure, Sport & Tourism","8 - 10 years",13
"Public Libraries","2 - 4 years",1
Procurement/Sourcing/Operations,"11 - 20 years",1
"religious educator","21 - 30 years",1
"Information services (libraries)","11 - 20 years",1
"Corporate Sustainability","5-7 years",1
"Environmental Planning","8 - 10 years",1
Ministry,"5-7 years",2
"Funeral Service","8 - 10 years",1
"Print / Mail","11 - 20 years",1
Planning,"11 - 20 years",1
"real estate","21 - 30 years",2
"Patent translation","11 - 20 years",1
"apparel design/product development","5-7 years",1
"Religious institution","11 - 20 years",1
Biotech,"2 - 4 years",12
"defence Contracting","5-7 years",1
Chemistry,"8 - 10 years",1
Retail,"2 - 4 years",48
"Public Libraries","31 - 40 years",1
"Construction, mining, manufacturing","21 - 30 years",1
"Government Relations","8 - 10 years",2
Automotive,"21 - 30 years",2
"clinical research","8 - 10 years",4
"STEM Research","2 - 4 years",1
Energy,"11 - 20 years",7
"Real estate","2 - 4 years",6
"Supply Chain Distribution","8 - 10 years",1
"Beauty/service industry","21 - 30 years",1
"Public Librarian","5-7 years",1
Biotech/Pharma,"1 year or less",2
"biological research","2 - 4 years",2
Warehousing,"21 - 30 years",1
"Information Technology","21 - 30 years",1
"Public Health Research","8 - 10 years",1
"market research","21 - 30 years",1
"Administrative Work","8 - 10 years",1
Entertainment,"2 - 4 years",25
"real estate","5-7 years",4
Administration,"5-7 years",1
"Landscaping/Tree Work","5-7 years",1
accessibility,"11 - 20 years",1
"Product Management","5-7 years",1
"Biotech / life sciences","21 - 30 years",1
"Consumer Goods Production","5-7 years",1
"Oil and Gas Safety Training","11 - 20 years",1
Communications,"5-7 years",2
"Real Estate Development","11 - 20 years",1
Cosmetology,"31 - 40 years",1
Journalism,"8 - 10 years",2
"Political Campaigning","1 year or less",1
"Finance/Investment Management but in legal/compliance, so back-office","5-7 years",1
"consumer product design","11 - 20 years",1
Housekeeper/cook,"11 - 20 years",1
"Management Consulting","2 - 4 years",1
"Consumer Packaged Goods","8 - 10 years",2
"Staffing Industry","11 - 20 years",1
"Librarian and Assistant Manager of a library","21 - 30 years",1
"educational publishing","21 - 30 years",2
"Public Library","41 years or more",1
"Marketing at a Non Profit","5-7 years",1
"Human Resources","8 - 10 years",1
"Medical communications","5-7 years",1
"Pharmaceutical Development","8 - 10 years",1
"Fitness & Entertainment","21 - 30 years",1
"Public/Environmental Health","1 year or less",1
"Payroll Software","5-7 years",1
Environmental,"8 - 10 years",3
"Instructional Design and Training","21 - 30 years",1
"Education (Other)","11 - 20 years",1
"Supply Chain","31 - 40 years",1
Education/vocational,"21 - 30 years",1
Mining,"11 - 20 years",3
"Life science capability development","8 - 10 years",1
"Retail pharmacy","11 - 20 years",1
Fitness,"11 - 20 years",3
Library,"5-7 years",9
"Consumer Good (Toys)","11 - 20 years",1
Museum,"2 - 4 years",1
"Music, education","11 - 20 years",1
"Mining/Mineral Exploration","8 - 10 years",1
Philanthropy,"8 - 10 years",4
"Biotechnology, Research and Development","11 - 20 years",1
"Academic Scientific Research","5-7 years",1
Biopharma,"2 - 4 years",1
library,"31 - 40 years",3
"Biomedical Research","2 - 4 years",2
"Government Contractor","11 - 20 years",1
Mining,"5-7 years",2
Insurance,"41 years or more",1
"Arts, Culture and Heritage","2 - 4 years",1
"Corporate Learning and Development","21 - 30 years",1
Translation,"2 - 4 years",2
Cannabis,"11 - 20 years",2
"Govtech Software as a Service","2 - 4 years",1
Biology/Research,"8 - 10 years",1
"For profit education","11 - 20 years",1
pharmaceutical,"31 - 40 years",2
"Saas company/software","8 - 10 years",1
"Beauty /CPG","8 - 10 years",1
"Environment, health, and safety","8 - 10 years",1
"Clean Energy (eg. energy efficiency, renewables, etc.)","8 - 10 years",1
"Energy: oil & gas","21 - 30 years",1
Biotech/pharmaceuticals,"11 - 20 years",3
"Environmental Health + Pest Control","8 - 10 years",1
Architecture,"5-7 years",3
"Veterinary medicine","21 - 30 years",2
Zoo,"31 - 40 years",1
"Legal Services","11 - 20 years",1
"Food & Beverage","21 - 30 years",2
Politics,"5-7 years",2
"Research & Development","5-7 years",3
"Political Campaigns","5-7 years",3
Museum,"11 - 20 years",3
"Agriculture or Forestry","31 - 40 years",5
"Automotive Repair","31 - 40 years",1
"Community Foundation","5-7 years",1
"Medical research","21 - 30 years",1
"Cultural Resources Management/Major Univ.","11 - 20 years",1
"Scientific research","11 - 20 years",2
Veterinarian,"11 - 20 years",1
"Recruitment or HR","1 year or less",5
chemistry,"5-7 years",1
Actuarial,"1 year or less",1
"Librarian in legal setting","8 - 10 years",1
Procurement,"21 - 30 years",1
"Academic research (social science)","2 - 4 years",1
Manufacturing/Wholesale,"8 - 10 years",1
"Government Affairs/Lobbying","11 - 20 years",1
"Medical Communications","8 - 10 years",1
"Telecommunications (GPS)","11 - 20 years",1
manufacturing,"41 years or more",3
"Food demos","31 - 40 years",1
"Education services (tutoring)","11 - 20 years",1
"wholesale distribution","11 - 20 years",2
Pharma,"8 - 10 years",5
Environmental,"31 - 40 years",2
"Tourism/Heritage -- but for a government building","5-7 years",1
"Academic publishing","2 - 4 years",1
Scientist,"21 - 30 years",1
"Trade Association","8 - 10 years",1
"Corporate accounting in death care (funeral & cemetery)","11 - 20 years",1
"Social Work","1 year or less",12
"Academic science","8 - 10 years",3
"Legal services","2 - 4 years",1
"Biotech manufacturing","21 - 30 years",1
"Government Contracting","21 - 30 years",1
"Bioscience Company","11 - 20 years",1
Fintech,"5-7 years",2
"Utilities & Telecommunications","41 years or more",2
"Physical sciences","11 - 20 years",1
translation,"21 - 30 years",3
"Science/Research (Academia)","2 - 4 years",1
"municipal (public) libraries","11 - 20 years",1
"Policy research","5-7 years",1
"Museum (University Affiliated)","2 - 4 years",1
"Biomedical Research","11 - 20 years",2
"Libraries (Medical)","11 - 20 years",1
"Industrial Cleaning & Non Hazardous Transport","11 - 20 years",1
"Quality Assurance Laboratory","11 - 20 years",1
"Environmental consulting","5-7 years",5
Tourism,"2 - 4 years",1
"Engineering - Mining","8 - 10 years",1
"Customer Service","5-7 years",3
"Administration, IT","31 - 40 years",1
"not-for-profit membership organization","21 - 30 years",1
"Biotech industry","31 - 40 years",1
"Instructional Design, Aviation Industry","8 - 10 years",1
"UX Research","2 - 4 years",1
"Behavioural Health","21 - 30 years",1
"Health Research","5-7 years",1
"Law Enforcement & Security","5-7 years",3
"Scientific Research","1 year or less",4
"Agriculture or Forestry","21 - 30 years",12
"Sales Operations","11 - 20 years",2
Immigration,"8 - 10 years",1
Retail,"41 years or more",3
Biotech,"8 - 10 years",7
Fundraising,"21 - 30 years",1
Automotive,"11 - 20 years",4
Translation,"8 - 10 years",5
"Research - Public Health","2 - 4 years",1
"Academic research","11 - 20 years",3
"Office Administration","11 - 20 years",1
defence,"8 - 10 years",2
"Science/research non-academic","11 - 20 years",1
"Emergency Management","11 - 20 years",1
"Science research","5-7 years",2
"State and federal contractor","11 - 20 years",1
"Service and repair","21 - 30 years",1
Pharma,"2 - 4 years",2
"Restaurant/Food Service","2 - 4 years",1
"Publishing (book)","11 - 20 years",1
"Nuclear research","8 - 10 years",1
"Scientific R&D","11 - 20 years",1
defence,"2 - 4 years",1
"Science (Research, Biology)","11 - 20 years",1
"Research science","5-7 years",1
"Environmental Science","8 - 10 years",2
Technology,"8 - 10 years",1
Chemistry,"2 - 4 years",1
"Mental health","2 - 4 years",1
Pet,"21 - 30 years",1
Fitness,"8 - 10 years",1
"Oil & Gas","11 - 20 years",2
"mental health","11 - 20 years",1
"student paid intern in computing","1 year or less",1
"Paid student intern in Tech","1 year or less",1
Security,"11 - 20 years",1
"biomedical research","8 - 10 years",4
Philanthropy,"5-7 years",1
Consulting,"8 - 10 years",2
"Public Library (might be considered Government, but that always seems an odd designation...)","11 - 20 years",1
Sales,"41 years or more",3
"Religious institute","8 - 10 years",1
"Daycare for children under 5 years old","8 - 10 years",1
"Oil & Gas - Non Destructive Testing","8 - 10 years",1
"Academic research","5-7 years",1
Childcare,"5-7 years",3
"Renewable Energy","8 - 10 years",1
Biotech/Pharmaceuticals,"2 - 4 years",1
"Wholesale supplier","31 - 40 years",1
Politics/Campaigns,"5-7 years",1
"Commercial furniture","5-7 years",1
"Global Mobility","8 - 10 years",1
"Transport or Logistics","31 - 40 years",10
Archives,"8 - 10 years",3
"Hospitality & Events","1 year or less",9
"Biomedical research","5-7 years",2
"Scientific publishing","11 - 20 years",1
Restaurant/Service,"8 - 10 years",1
"Pharmaceutical Manufacturing","5-7 years",2
Politics/campaigns,"2 - 4 years",1
"Library Page (Public county library)","2 - 4 years",1
"Government contractor","8 - 10 years",1
"University tech transfer (higher ed/marketing/writing)","2 - 4 years",1
"Urban Planning","2 - 4 years",1
"Biotech / Pharmaceutical Industry","5-7 years",1
"Environmental consulting","11 - 20 years",4
"Entrepreneur high net worth","21 - 30 years",1
"Fundraising for a university","11 - 20 years",1
"Energy (oil & gas & associated products, renewable power, etc)","21 - 30 years",1
"Architecture / Engineering","21 - 30 years",1
"Government contracting (data analytics and program evaluations)","5-7 years",1
"Research at a National Laboratory","2 - 4 years",1
"Bio tech","41 years or more",1
"Cultural Heritage","8 - 10 years",1
"Consumer Goods","1 year or less",1
Wholesale/Distribution,"8 - 10 years",1
"music therapy","2 - 4 years",1
"Biotech/Food Safety","11 - 20 years",1
Publishing,"21 - 30 years",11
"Marketing technology","11 - 20 years",1
"State-level public transportation agency","31 - 40 years",1
"Real World Evidence (data for pharma research)","21 - 30 years",1
"Early Childhood Education","11 - 20 years",1
"public libraries","11 - 20 years",7
Architect,"11 - 20 years",2
"Children's Book Wholesale","11 - 20 years",1
"Public safety","5-7 years",1
"Biological Sciences","2 - 4 years",1
Mining,"2 - 4 years",3
"Library/Archive/Research Center","21 - 30 years",1
"Training and Professional Services","21 - 30 years",1
"Science academia","2 - 4 years",1
"Biotech research","11 - 20 years",2
"Science and research","11 - 20 years",1
Energy,"21 - 30 years",4
"Landed Estate","11 - 20 years",1
"My company sells & services various types of printers, mostly Kyocera.","8 - 10 years",1
"Medical Sciences","5-7 years",1
"Research science","8 - 10 years",1
Entertainment,"1 year or less",2
Apparel,"8 - 10 years",1
Mortgage,"2 - 4 years",1
Software/programming,"21 - 30 years",1
Biopharma,"11 - 20 years",1
"Energy - Oil and Gas","8 - 10 years",1
"Scientific Research","2 - 4 years",2
Airline,"11 - 20 years",1
"Research & Development (defence Industry)","41 years or more",1
"Hospitality & Events","41 years or more",1
Biotechnology,"5-7 years",5
"Religious (church)","31 - 40 years",1
"Direct support  professional  in a group  home","31 - 40 years",1
"Commercial Real Estate - Private Equity","5-7 years",1
Psychology,"11 - 20 years",1
Finance,"8 - 10 years",2
Law,"41 years or more",8
"Biotechnology/Life Sciences","5-7 years",1
Library/Archive,"5-7 years",1
"Organized Labor","11 - 20 years",1
e-learning,"2 - 4 years",1
"Real Estate/ Mortgage","11 - 20 years",1
Fundraising,"8 - 10 years",1
"International development","8 - 10 years",2
Distribution,"11 - 20 years",2
Pharmaceuticals,"1 year or less",3
"Program management","8 - 10 years",1
"Market Research","11 - 20 years",4
"Big Pharma","21 - 30 years",1
"Automotive repair","11 - 20 years",2
"Industry unknown","31 - 40 years",3
Nonprofits,"41 years or more",9
"Wine Importing/Distribution","8 - 10 years",1
"Laboratory research","5-7 years",1
Aerospace/Aviation,"8 - 10 years",1
"I work for Indeed.com","21 - 30 years",1
"Archives/Library Science","5-7 years",1
Geospatial,"11 - 20 years",1
"Waste and recycling","11 - 20 years",1
"Public Library (Non-profit, but also government?)","11 - 20 years",1
"Customer service/publishing-adjacent","5-7 years",1
"Food/Beverage Manufacturing- Quality/Laboratory","11 - 20 years",1
"Education (Primary/Secondary)","1 year or less",17
Academia,"8 - 10 years",2
IT,"2 - 4 years",1
"consumer products","21 - 30 years",1
Library--public,"11 - 20 years",1
"Veterinary services","21 - 30 years",1
"Wherever I'm assigned via the union","21 - 30 years",1
Translation,"5-7 years",2
Student,"1 year or less",3
"life sciences","11 - 20 years",4
"Engineering and Environmental Consulting","11 - 20 years",1
Restaurant,"8 - 10 years",3
Communications/publications,"21 - 30 years",1
Food,"5-7 years",2
Faith/spirituality,"2 - 4 years",1
"awards and engraving","21 - 30 years",1
Funeral,"21 - 30 years",1
"Political Consulting","11 - 20 years",1
"Library/Information management","2 - 4 years",1
"Learning and Development","8 - 10 years",1
Translation,"11 - 20 years",4
"Data Analytics","2 - 4 years",1
"Luxury Fashion","8 - 10 years",1
Clergy,"5-7 years",1
