Industry,Gender,Highest_Level_of_Education_Completed,Average_Salary
"Recruitment or HR",Non-binary,"College degree",62000
"Food Service",Woman,"College degree",29224
"Transport or Logistics",Man,"Master's degree",95088.59999999999
Pharma,Man,"Master's degree",161000
Aerospace/Defence,Woman,"College degree",68800
"Management Consulting",Woman,"College degree",180000
Pharmaceutical,Woman,"College degree",103741.41666666667
Pharmaceutical,Woman,"Master's degree",127875
"Accounting, Banking & Finance",Man,"Master's degree",119356.51862222221
"Academic publishing",Woman,"Master's degree",40114.333333333336
"Gas & Oil",Woman,"College degree",75000
"Defence contracting",Woman,"College degree",96750
"Agriculture or Forestry",Man,"College degree",79384.03230769231
"International development (multilateral donor)",Woman,"Master's degree",111360
"project management",Woman,"College degree",68812.5
"Media & Digital",Woman,"Some college",82693.01384615386
"Transport or Logistics",Man,"College degree",91753.13225806452
"Apparel manufacture",Woman,"Master's degree",66000
"auto repair",Woman,"College degree",56000
"Health care",Woman,"High School",69890.97047619049
"Life Sciences",Woman,"College degree",62000
"pharma / medical device design and manufacturing",Woman,"Master's degree",188000
"Chemical Manufacturing",Woman,"College degree",47902
Insurance,Non-binary,"College degree",102562.83333333333
"Editor in educational publishing",Woman,"Some college",49000
"Business or Consulting",Non-binary,"College degree",61190.71428571428
"Computing or Tech",Woman,"Unknown level of education",98038
"Agriculture or Forestry",Non-binary,"Some college",375436.04
"trade association/membership",Woman,"College degree",65100
"Education (Higher Education)",unknown,"Unknown level of education",42966.0925
Work-Study,Non-binary,"College degree",16000
Science,Woman,"College degree",48412.05866666667
"Learning & Development",Woman,PhD,68000
Training,Man,"College degree",120632
"Media & Digital",Woman,PhD,89727.85714285714
FMCG,Woman,"Master's degree",65550
"Art & Design","Other or prefer not to answer","College degree",81666.66666666667
manufacturing,Woman,"Master's degree",94190
"Government and Public Administration","Other or prefer not to answer","Master's degree",95703.21142857142
"Museum - Nonprofit",Woman,"Master's degree",65000
"real estate",Woman,"College degree",57506.25
"wholesale distribution",Woman,"College degree",62000
"Government and Public Administration",Woman,"Unknown level of education",65612.07742857143
"Research Administration",Woman,"Master's degree",53000
"Property or Construction",Woman,"Master's degree",90200.64642857143
"Real Estate",Woman,"Master's degree",92833.33333333333
Pharma,Woman,"Master's degree",104385.2
"Scientific research",Woman,PhD,104857.14285714286
Retail,Man,"College degree",72139.27266666666
Entertainment,Woman,"Master's degree",76967.01364705883
Retail,Man,"High School",42820
"Education (Primary/Secondary)",unknown,"Master's degree",74488
"Accounting, Banking & Finance","Other or prefer not to answer","College degree",102855.33333333333
"Marketing, Advertising & PR",Woman,"Unknown level of education",92680
Tech,Woman,"Some college",160000
"Healthcare IT",Woman,"College degree",135000
Research,Woman,"Master's degree",73373.04
"Hospitality & Events",Man,"College degree",55084.502
"Academic Publishing",Woman,"College degree",64250
"Marketing, Advertising & PR",Non-binary,"College degree",63558.97415384615
Tech,Woman,"College degree",109000
"Municipal library",Woman,"Master's degree",63000
Eap,Woman,"College degree",73000
"Property or Construction",Man,"Master's degree",96581.55555555556
"Education (early childhood)",Woman,"College degree",92400
"Medical Library",Woman,"Master's degree",75950
"Fire protection",Woman,"College degree",70000
"Environmental Science",Woman,"College degree",65000
"Music: freelance, performing and education",Woman,"Master's degree",50000
architecture,Woman,"College degree",77957.77777777778
"Media & Digital",Non-binary,"College degree",84307.125
"Computing or Tech",Non-binary,"Master's degree",124825.394375
"Art & Design",Woman,"Some college",73745.02857142857
"Engineering or Manufacturing",Woman,"High School",61131.25
"Oil & Gas",Woman,"College degree",113152.5
"Libraries & Archives",Woman,"Master's degree",51500
"International Development",Woman,"College degree",71675
"Interior Design & Architecture",Woman,"Some college",80240
Pharma/Biotech,Woman,"Master's degree",128000
"Recruitment or HR",Woman,"Some college",76327.41379310345
"Social Work",Woman,PhD,74595
"Computing or Tech",Man,PhD,15154312.793261906
"Academic/nonprofit research",Woman,"College degree",37440
"Public health",Non-binary,"Master's degree",65949
"Synthetic Chemical Manufacturing",Woman,"Master's degree",103000
Retail,Woman,"Some college",47937.87654320987
"Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs)",Woman,"Master's degree",41394
publishing,Woman,"Master's degree",56183.361000000004
"Real estate services",Woman,"Master's degree",47500
"Automotive finance and insurance",Woman,"College degree",87500
Retail,Man,"Unknown level of education",84320
"Computing or Tech","Other or prefer not to answer","High School",148333.33333333334
Gambling,Woman,"College degree",66820
"Museums: Nonprofit",Woman,"Master's degree",42000
"Public Library",Woman,"College degree",43087.142857142855
"Libraries and Archives (Academic)",Woman,"Master's degree",53000
Pharma,unknown,"College degree",107000
Archaeology,Woman,"Master's degree",55000
"Engineering or Manufacturing",Man,PhD,129329.42962962964
"Agriculture or Forestry",Woman,PhD,93447.2
Law,"Other or prefer not to answer",PhD,161000
"Municipal Government (Library)",Woman,"Master's degree",54953
"Public Policy",Woman,"College degree",53080
Research,Woman,"College degree",47350.736153846156
Library/archives,Woman,"Master's degree",46700
"Government and Public Administration",Non-binary,"Master's degree",68915.05733333333
"Government- Scientist",Woman,"Master's degree",100000
Technical/Cybersecurity,Woman,"Master's degree",190000
Museums,Woman,"Master's degree",55272
"Pharmaceutical research",Woman,"Master's degree",90000
"Government and Public Administration","Other or prefer not to answer","College degree",75792.25666666667
"Social Work",Woman,"Unknown level of education",752352
"Sign Language Interpreter, Community",Woman,"College degree",124800
Library,Woman,"Master's degree",61558.52777777778
Library,Woman,"College degree",59375.09090909091
Biotech,Man,PhD,161266.66666666666
Publishing,Non-binary,PhD,37000
"Trade Association",Woman,PhD,189000
Retail,Non-binary,"College degree",31912.75
"Mining/Resource Extraction",Woman,"Some college",74568
"Recruitment or HR",Man,"High School",58405
"Education Publishing",Woman,"College degree",52500
Law,unknown,"Unknown level of education",94000
Law,Man,"College degree",73981.4
"Education (Primary/Secondary)",Woman,"Unknown level of education",47370.56666666666
"Special Collections Library",Woman,"Master's degree",45000
"Intergovernmental organization",Woman,"Master's degree",60000
"Hospitality & Events",Man,"Some college",66095.33333333333
Biotechnology,Woman,PhD,117310.625
"Information services",Woman,"College degree",15867
"Education (Higher Education)","Other or prefer not to answer","Master's degree",62361
"Museum education",Woman,"Master's degree",36663
Politics,"Other or prefer not to answer","College degree",72000
"Food & Beverage production",Man,"Some college",90000
"Computing or Tech",Woman,"High School",89330.125
"Health care",Man,"High School",70833.33333333333
"Health care",Man,PhD,166957.5
Museums,Woman,"College degree",53000
"Food and Drink",Woman,"College degree",14971.806
"Video Games",Woman,"College degree",92180722.47999999
Science,Woman,PhD,102340
Law,Woman,"Professional degree (MD, JD, etc.)",145579.9197740113
Nonprofits,Woman,"Professional degree (MD, JD, etc.)",109529.46
"Media & Digital",unknown,"Master's degree",85000
Nonprofits,Non-binary,PhD,74651
Technical/IT,Woman,"Some college",97000
"Public health",Woman,PhD,25830
"Hospitality & Events",Woman,"Some college",49577.571842105266
"education writing",Woman,"College degree",48500
"High end outdoor furniture manufacturer",Woman,"College degree",53000
"Industry unknown",Woman,"High School",57215.75
Logistics,Woman,"College degree",72775
"Computing or Tech","Other or prefer not to answer","College degree",131072.2
"Government Relations/Lobbying",Woman,"College degree",59000
Heritage,Woman,"Master's degree",32315.051
"Government and Public Administration",Non-binary,"Some college",50935.63
"Real Estate Corp. Office/not a Realtor",Woman,"College degree",55000
"Business or Consulting",Woman,"High School",54716.5
"Education (Higher Education)",Woman,"High School",58474
HRO,Woman,"College degree",64000
"Utilities & Telecommunications",Woman,"High School",62608.04285714286
"Marketing, Advertising & PR",unknown,"Unknown level of education",65000
Publications,Man,"Master's degree",81000
"Workforce development",Woman,"Master's degree",52000
"Information sciences",Woman,"Master's degree",77200
"clinical research",Woman,"College degree",63775.333333333336
"Health care",Woman,"Professional degree (MD, JD, etc.)",157960.8255185185
"Leisure, Sport & Tourism",Woman,"Master's degree",87416.5294117647
"Government and Public Administration",Woman,"Professional degree (MD, JD, etc.)",156783.10320987654
biotech,Woman,"Master's degree",106825.16666666667
"Market research",Woman,"Master's degree",63408.71428571428
Law,unknown,"Master's degree",103000
"Food and Flavour",Woman,"Master's degree",104000
"Renewable Energy",Woman,"College degree",112000
"Pharmaceutical Manufacturing",Woman,PhD,114000
"aerospace data",Woman,"Master's degree",57000
"Engineering or Manufacturing",Non-binary,"College degree",82533.4375
Science/Research,Woman,"Master's degree",70000
Biotech/Pharma,Woman,"College degree",134500
"Real Estate Investment",Woman,"College degree",73000
"Supply chain",Woman,"Master's degree",56000
Biotech/pharma,Woman,PhD,138400
technology/SaaS,Woman,"College degree",87500
Libraries,"Other or prefer not to answer","Master's degree",46150
"Biomedical Research",Woman,"Master's degree",60152
Nonprofits,Woman,"High School",46584.57142857143
"Government Contracting",Woman,"Master's degree",111000
Insurance,Man,"Master's degree",142136.91666666666
"Media & Digital",Man,"Master's degree",110176.66666666667
"Public Libraries",Woman,"Master's degree",68454.76190476191
Research,Woman,PhD,91545.85714285714
"Research and Development",Woman,PhD,145750
"Accounting, Banking & Finance",Non-binary,"High School",1690673.3333333333
Nonprofits,"Other or prefer not to answer","Master's degree",76555
"Specialist policy consulting/research",Woman,"Master's degree",18450
"Education (Higher Education)",Woman,"Professional degree (MD, JD, etc.)",637273.35
"Accounting, Banking & Finance",Woman,"Professional degree (MD, JD, etc.)",127836.1993877551
"Veterinary Care",Woman,"High School",37400
"Engineering or Manufacturing",Woman,"Professional degree (MD, JD, etc.)",114251.2
"Education (Higher Education)","Other or prefer not to answer","College degree",60983.81825
"Federal Contracting/Business Development",Man,"College degree",70000
"Aerospace and defence",Woman,"College degree",78750
"Environmental/Cultural Resource Management",Woman,"Master's degree",48500
"Marketing, Advertising & PR",Woman,PhD,105444.44444444444
"Academia--cell and molecular biology",Woman,PhD,48000
Nonprofits,Woman,"Unknown level of education",74501.4
Insurance,Woman,"Professional degree (MD, JD, etc.)",103417.76999999999
"Pharmaceutical R&D",Woman,"Master's degree",199900
"Oil and Gas",Woman,"Master's degree",128194
"Career & Technical Training",Woman,"Master's degree",46800
"Education (Higher Education)",unknown,PhD,81833.33333333333
"Fundraising in Higher Education; nonclinical, non-academic","Other or prefer not to answer","Some college",44000
"Trades (Supply Chain) Oil and Gas",Woman,"College degree",123977.6
"Wholesale - Apparel",Woman,"College degree",90000
"Education (Primary/Secondary)",Woman,"Professional degree (MD, JD, etc.)",78821.37457142856
"Govt contractor - not directly govt but they pay me",Woman,"College degree",100000
"Health care",Non-binary,"Master's degree",83104.33090909092
"Book publishing",Woman,"College degree",61333.333333333336
"labour union",Woman,"Some college",65557
"Educational technology",Woman,"Master's degree",79000
"Media & Digital",Woman,"Unknown level of education",58988.088888888895
"Research & Development",Woman,"College degree",90333.33333333333
"Business Process Outsourcing",Woman,"Master's degree",41600
Nonprofits,Man,"Some college",97812
"Art & Design",Man,"College degree",73418.48372093023
Biotech,Woman,PhD,123562.71428571429
Sales,Man,"Master's degree",106800
"Manufacturing (pharmaceuticals)",Woman,PhD,114240
"Consumer Research",Woman,PhD,97000
"Biotech / Research",Man,"Master's degree",100000
"Govt contractor - not direct govt but they pay my company who in turn pays me",Woman,"College degree",100000
"Health care","Other or prefer not to answer","College degree",84220.57142857143
"Market Research",Woman,"College degree",56100
Gaming,Woman,"College degree",68500
Nonprofits,"Other or prefer not to answer",PhD,121137.6
"Computing or Tech",Woman,"Professional degree (MD, JD, etc.)",147224.68666666665
"Commercial real estate tenancy",Woman,"College degree",58734.32
"Book Publishing",Woman,"Master's degree",47033.333333333336
Translation/transcription,Man,"College degree",38000
"Art & Design",Non-binary,"College degree",67635.07142857143
"Pharmaceuticals R&D",Woman,"Master's degree",106000
Retail,Woman,"Unknown level of education",45900
"Law Enforcement & Security",Woman,"Master's degree",50150
"Subsidized Seniors Housing",Woman,"College degree",61200
"librarian--Contractor for NASA",Woman,"Master's degree",63000
"Environmental sciences",Woman,"Some college",42000
"Federal Government Contracting",Woman,"Master's degree",125500
"Government contractor",Woman,"Master's degree",84000
"Hospitality & Events",Woman,"High School",38096
"Hospitality & Events","Other or prefer not to answer","Some college",20475.95
"State DOT",Man,"Some college",45000
"Analytical Chemistry",Woman,"College degree",56000
Insurance,Man,"Some college",85255
"Public Library",Non-binary,"Some college",28000
"Executive Search",Woman,"College degree",90000
"Art & Design",Man,"Some college",96196
"Recruitment or HR",Woman,"Professional degree (MD, JD, etc.)",93540
"labour/professional organization",Woman,"Master's degree",84320
Retail,"Other or prefer not to answer","Some college",37755
"Utilities & Telecommunications",Woman,"Professional degree (MD, JD, etc.)",110080.5
Religion/church,Woman,"Master's degree",54000
"Engineering or Manufacturing",unknown,"College degree",104485.71428571429
"Private company, federal contractor",Woman,"Master's degree",62000
"Title/Real Estate",Non-binary,"College degree",62500
"Computing or Tech","Other or prefer not to answer","Some college",124833.33333333333
"Church ministry",Woman,"Master's degree",55000
Compliance,Woman,"College degree",54313
Law,Man,"Professional degree (MD, JD, etc.)",182784.3023255814
"Database subscription services",Woman,"Some college",100000
"Corporate sustainability",Woman,"College degree",86000
"Marketing, Advertising & PR",unknown,"College degree",64000
"Oil & gas",Woman,"Master's degree",132700
"Craft Beer Industry",Woman,"College degree",70000
"Engineering or Manufacturing",Man,"High School",85612.52222222222
"Art & Design",Woman,PhD,103253.33333333333
Childcare,Woman,"College degree",31334.34
"Public Libraries",Non-binary,"College degree",29000
Procurement/Sourcing/Operations,Woman,"College degree",103000
"Recruitment or HR",Non-binary,"Master's degree",56603.475333333336
"Accounting, Banking & Finance",Woman,"Unknown level of education",177911.11111111112
"Government and Public Administration",Man,"Professional degree (MD, JD, etc.)",105798.49333333333
"religious educator",Woman,"College degree",31200
"Information services (libraries)",Woman,"Master's degree",67231
"Business or Consulting",Woman,"Professional degree (MD, JD, etc.)",144261.85
"Corporate Sustainability",Woman,"Master's degree",110000
"Environmental Planning",Woman,"College degree",77500
Ministry,Woman,"Master's degree",59750
"Funeral Service",Woman,"Some college",33280
"Print / Mail",Man,"College degree",87000
Planning,Woman,"Unknown level of education",72000
"Patent translation",Woman,"College degree",71400
"Agriculture or Forestry",Non-binary,"College degree",53447.6
"apparel design/product development",Woman,"College degree",52000
Insurance,Woman,PhD,81106.65
"Religious institution",Woman,"Master's degree",54080
"Recruitment or HR",Man,"Master's degree",98162.28571428571
"defence Contracting",Woman,"Master's degree",115000
Chemistry,Woman,PhD,107000
"Construction, mining, manufacturing",Woman,"College degree",108800
"Government Relations",Woman,"College degree",102500
"Utilities & Telecommunications",Man,"Some college",6464980.3125
Automotive,Woman,PhD,229500
Insurance,Man,"College degree",101636.45454545454
"clinical research",Woman,"Master's degree",92920
"STEM Research",Woman,"College degree",33212
library,Non-binary,"Master's degree",73593.33333333333
Energy,Woman,"Master's degree",186500
"Real estate",Non-binary,"College degree",31200
"Supply Chain Distribution",Woman,"Master's degree",61800
"Beauty/service industry",Woman,"Some college",72800
"Public Librarian",Woman,"Master's degree",41800
Retail,Man,"Some college",44321.85972727273
"Education (Primary/Secondary)",Non-binary,"Professional degree (MD, JD, etc.)",66141.356
"Engineering or Manufacturing",Non-binary,"Master's degree",76783.42222222223
"biological research",Woman,PhD,26836.632
Warehousing,Man,"Some college",30195.5
"Information Technology",Man,"College degree",70000
"Public Health Research",Woman,PhD,118000
"Accounting, Banking & Finance",Man,PhD,205666.66666666666
"market research",Non-binary,"College degree",64000
"Administrative Work",Woman,"College degree",51000
Nonprofits,unknown,"College degree",50837
"Utilities & Telecommunications",Man,"Professional degree (MD, JD, etc.)",168000
Architecture,Woman,"Professional degree (MD, JD, etc.)",96333.33333333333
"Computing or Tech","Other or prefer not to answer","Unknown level of education",100040
Administration,Woman,"College degree",35000
"Landscaping/Tree Work",Woman,"Some college",58240
accessibility,Non-binary,"Master's degree",4000
"Product Management",Woman,PhD,134125
"Biotech / life sciences",Woman,"College degree",196000
"Consumer Goods Production",Woman,"College degree",55000
"Oil and Gas Safety Training",Woman,"Master's degree",56000
Communications,Woman,"College degree",57055.59
"Real Estate Development",Woman,"Master's degree",155000
Cosmetology,Woman,"Some college",80000
Journalism,Woman,"Master's degree",26220
"Political Campaigning",Woman,"College degree",42000
Libraries,Non-binary,"Master's degree",65962.25
"Finance/Investment Management but in legal/compliance, so back-office",Woman,"College degree",125000
"consumer product design",Man,"Master's degree",117000
Housekeeper/cook,Woman,"College degree",44000
"Management Consulting",Woman,"Unknown level of education",180000
"Consumer Packaged Goods",Woman,PhD,134971
"Staffing Industry",Man,"Master's degree",60000
"Librarian and Assistant Manager of a library",Woman,"Master's degree",81000
"educational publishing",Woman,"College degree",87820
"Marketing at a Non Profit",Woman,"College degree",58000
"Human Resources",Woman,"Some college",57383
"Property or Construction",Man,"Some college",60132.880000000005
"Medical communications",Woman,PhD,117500
"Pharmaceutical Development",Woman,PhD,159666.66666666666
"Fitness & Entertainment",Woman,PhD,75000
"Public/Environmental Health",Non-binary,"College degree",47000
"Payroll Software",Woman,"College degree",51001
Environmental,Woman,"Master's degree",87406.66666666667
"Instructional Design and Training",Woman,"College degree",104000
"Education (Other)",Non-binary,"Master's degree",95567.2
"Law Enforcement & Security",Man,PhD,136000
"Supply Chain",Woman,"College degree",108250
Education/vocational,Man,"College degree",100000
Architecture,Non-binary,"College degree",53000
